Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
27,Clark,562679,74.65%,19.02%,0.54%,1.01%,2.19%,2.58%
47,Campbell,386157,73.66%,20.47%,0.53%,0.71%,2.13%,2.49%
49,Carter,376966,58.20%,35.59%,0.45%,0.78%,2.65%,2.34%
57,Cruz,334201,5.17%,0.80%,5.19%,0.27%,0.70%,87.88%
59,Collins,329770,71.61%,22.43%,0.49%,0.77%,2.23%,2.47%
65,Cook,302589,81.80%,12.55%,0.57%,0.92%,1.98%,2.17%
70,Cooper,280791,67.93%,26.13%,0.50%,0.74%,2.31%,2.40%
78,Cox,261231,82.62%,12.07%,0.50%,0.67%,1.82%,2.33%
83,Chavez,250898,5.02%,0.21%,0.65%,0.94%,0.23%,92.96%
93,Castillo,230420,4.92%,0.72%,3.04%,0.59%,0.46%,90.26%
107,Coleman,219070,49.43%,44.60%,0.40%,0.53%,2.79%,2.25%
126,Cole,195289,75.33%,18.89%,0.55%,0.72%,2.10%,2.41%
138,Castro,184134,7.29%,0.66%,3.74%,0.24%,0.64%,87.42%
150,Chen,169580,1.40%,0.30%,96.12%,0.02%,1.64%,0.52%
156,Crawford,164457,68.56%,25.65%,0.49%,0.75%,2.30%,2.24%
211,Cunningham,135718,73.16%,21.18%,0.53%,0.48%,2.07%,2.58%
215,Carroll,134317,82.95%,11.48%,0.61%,0.67%,1.92%,2.36%
229,Contreras,130164,4.19%,0.21%,0.55%,0.25%,0.16%,94.64%
231,Carpenter,129898,86.21%,8.49%,0.57%,0.68%,1.87%,2.18%
236,Chapman,127939,79.51%,14.62%,0.57%,0.81%,2.03%,2.47%
252,Carlson,120552,94.83%,0.46%,0.77%,0.49%,1.38%,2.07%
255,Carr,119076,73.61%,20.82%,0.49%,0.59%,2.08%,2.41%
309,Curtis,101801,77.90%,15.84%,0.53%,1.03%,2.13%,2.57%
310,Cortez,101694,6.00%,0.70%,2.92%,0.29%,0.44%,89.65%
323,Campos,96111,7.11%,0.39%,1.38%,0.21%,0.39%,90.52%
326,Chambers,94988,65.70%,28.50%,0.45%,0.58%,2.29%,2.47%
327,Caldwell,93944,68.05%,26.18%,0.42%,0.74%,2.32%,2.29%
332,Craig,92507,79.03%,15.15%,0.61%,0.78%,2.06%,2.37%
340,Carrillo,91129,5.13%,0.24%,0.68%,0.36%,0.24%,93.33%
351,Cohen,89091,88.89%,5.97%,0.66%,0.11%,1.08%,3.29%
376,Cabrera,83621,4.47%,0.41%,3.52%,0.12%,0.45%,91.02%
387,Cervantes,82161,3.31%,0.16%,0.91%,0.18%,0.14%,95.31%
391,Chang,81939,2.37%,0.87%,88.84%,0.03%,4.18%,3.71%
403,Cummings,79316,72.52%,19.66%,0.72%,2.33%,2.32%,2.45%
404,Chandler,79186,74.49%,19.63%,0.60%,0.68%,2.20%,2.40%
418,Cardenas,77652,4.59%,0.28%,1.02%,0.20%,0.21%,93.70%
420,Cross,77557,75.47%,18.28%,0.57%,0.91%,2.25%,2.52%
421,Calderón,77085,4.95%,0.56%,1.53%,0.16%,0.25%,92.55%
425,Chan,76664,2.75%,0.75%,89.32%,0.05%,2.54%,4.58%
433,Christensen,75143,94.42%,0.36%,0.73%,0.60%,1.51%,2.38%
436,Curry,74919,59.18%,34.93%,0.49%,0.47%,2.41%,2.52%
464,Castañeda,71368,4.11%,0.22%,1.79%,0.20%,0.25%,93.42%
466,Cannon,71085,69.78%,24.50%,0.50%,0.54%,2.26%,2.42%
487,Clarke,68281,61.02%,32.10%,0.63%,0.38%,2.32%,3.56%
493,Camacho,67893,6.09%,0.57%,2.90%,0.16%,0.71%,89.56%
497,Colón,67338,7.58%,1.89%,0.31%,0.14%,0.33%,89.75%
504,Casey,66556,86.89%,7.47%,0.66%,0.70%,1.88%,2.41%
514,Cobb,65125,69.98%,24.79%,0.44%,0.64%,2.13%,2.02%
518,Conner,64572,78.57%,16.17%,0.47%,0.57%,2.02%,2.20%
548,Charles,61211,33.69%,52.96%,1.01%,2.07%,2.37%,7.90%
551,Cain,60948,77.21%,17.00%,0.75%,0.60%,2.11%,2.33%
567,Cochran,59350,85.29%,9.05%,0.50%,1.24%,1.67%,2.24%
593,Carson,56872,72.25%,21.67%,0.61%,0.78%,2.28%,2.41%
