Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
40,Flores,433969,4.87%,0.42%,2.08%,0.34%,0.36%,91.94%
99,Foster,227764,69.65%,23.94%,0.55%,0.88%,2.33%,2.65%
112,Fisher,214703,82.58%,11.79%,0.55%,0.76%,1.89%,2.43%
137,Ford,184832,62.05%,32.00%,0.45%,0.61%,2.52%,2.37%
142,Fernandez,180842,8.77%,1.15%,5.38%,0.18%,0.93%,83.58%
151,Freeman,169149,65.50%,28.34%,0.52%,0.95%,2.38%,2.30%
180,Fox,152334,88.08%,6.06%,0.56%,1.03%,1.84%,2.42%
188,Ferguson,146426,74.83%,19.19%,0.60%,0.62%,2.23%,2.53%
251,Franklin,120621,54.38%,38.76%,0.54%,0.83%,2.78%,2.70%
281,Fuller,110116,73.22%,21.06%,0.60%,0.63%,2.16%,2.33%
288,Fields,107522,57.66%,35.78%,0.39%,1.24%,2.66%,2.28%
299,Fowler,104515,81.41%,12.89%,0.48%,0.96%,2.10%,2.16%
316,Figueroa,98468,4.93%,0.84%,1.00%,0.15%,0.26%,92.82%
335,Frazier,92152,56.10%,37.36%,0.40%,1.36%,2.51%,2.27%
342,Fleming,90677,71.71%,22.76%,0.62%,0.52%,2.21%,2.19%
382,Fletcher,83063,72.86%,20.92%,0.58%,0.74%,2.30%,2.60%
394,Fuentes,81006,4.56%,0.41%,1.31%,0.19%,0.29%,93.24%
413,Francis,78327,59.48%,30.30%,2.00%,2.07%,2.37%,3.78%
430,Fitzgerald,75356,86.32%,8.82%,0.67%,0.31%,1.65%,2.22%
455,Fischer,72357,94.34%,0.87%,0.61%,0.40%,1.22%,2.56%
476,Franco,69943,15.82%,0.63%,1.74%,0.32%,0.50%,81.00%
480,Farmer,69617,77.16%,17.45%,0.47%,1.05%,1.82%,2.07%
499,Frank,67304,84.54%,7.96%,0.99%,2.23%,1.60%,2.68%
505,Floyd,66454,65.41%,29.21%,0.41%,0.68%,2.30%,2.00%
525,French,63991,85.75%,8.10%,0.66%,1.11%,1.92%,2.45%
534,Flynn,63400,91.91%,3.07%,0.66%,0.60%,1.50%,2.26%
578,Flowers,57549,53.12%,40.28%,0.40%,0.63%,2.80%,2.77%
652,Farrell,52321,89.88%,4.78%,0.73%,0.54%,1.41%,2.65%
661,Foley,51865,92.05%,3.31%,0.73%,0.30%,1.51%,2.10%
822,Frost,42015,86.46%,7.69%,0.74%,0.94%,1.99%,2.19%
833,Frederick,41394,80.13%,14.07%,0.62%,0.82%,1.94%,2.42%
852,Fitzpatrick,40449,85.59%,9.42%,0.60%,0.40%,1.67%,2.32%
863,Felix,40165,17.50%,11.56%,2.80%,0.89%,0.96%,66.29%
898,Farley,38528,83.74%,10.87%,0.57%,0.76%,1.59%,2.46%
901,Friedman,38374,96.05%,0.41%,0.60%,0.13%,0.94%,1.88%
909,Fry,38029,91.09%,3.13%,0.55%,1.14%,1.75%,2.34%
922,Finley,37672,72.30%,21.35%,0.52%,1.24%,2.24%,2.36%
937,Frye,36973,83.04%,11.83%,0.53%,0.98%,1.87%,1.76%
952,Faulkner,36466,79.38%,15.44%,0.45%,0.60%,1.84%,2.28%
