Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
6,Garcia,1166120,5.38%,0.45%,1.41%,0.47%,0.26%,92.03%
13,Gonzalez,841025,4.03%,0.35%,0.38%,0.14%,0.13%,94.97%
41,Green,430182,56.84%,36.97%,0.44%,0.64%,2.47%,2.64%
51,Gomez,365655,5.12%,0.75%,1.01%,0.26%,0.26%,92.60%
67,Gutiérrez,293218,4.57%,0.24%,1.40%,0.25%,0.20%,93.33%
87,Gray,246116,68.68%,25.13%,0.54%,0.91%,2.33%,2.41%
111,Gonzales,214758,9.83%,0.99%,3.80%,0.76%,0.56%,84.06%
120,Graham,201159,70.02%,23.99%,0.51%,0.80%,2.13%,2.55%
122,Griffin,198406,63.77%,30.81%,0.44%,0.47%,2.28%,2.21%
130,Gibson,190667,72.14%,21.78%,0.46%,0.97%,2.34%,2.31%
154,Guzmán,167044,4.11%,0.42%,1.29%,0.15%,0.27%,93.77%
161,Gordon,161833,64.25%,29.15%,0.62%,0.68%,2.26%,3.04%
186,Garza,147005,6.66%,0.24%,0.17%,0.28%,0.15%,92.49%
194,Gardner,142894,75.01%,19.40%,0.56%,0.70%,2.04%,2.29%
196,Grant,142277,55.36%,37.91%,0.52%,1.08%,2.35%,2.79%
234,Guerrero,128677,4.55%,0.33%,2.20%,0.22%,0.43%,92.27%
235,George,128625,66.47%,18.46%,7.62%,2.24%,2.04%,3.16%
241,Greene,126101,67.70%,26.54%,0.48%,0.73%,2.34%,2.21%
268,Gilbert,114940,77.80%,15.92%,0.57%,0.69%,2.04%,2.98%
279,Garrett,110697,69.96%,24.45%,0.44%,0.60%,2.34%,2.20%
339,Gregory,91384,78.64%,15.56%,0.57%,0.75%,1.99%,2.49%
371,Graves,84179,69.64%,24.19%,0.48%,0.71%,2.38%,2.60%
414,Griffith,78260,83.93%,10.40%,0.55%,0.67%,1.88%,2.56%
435,Gill,74948,65.23%,13.96%,13.43%,0.59%,2.06%,4.74%
440,Gross,74503,84.87%,10.34%,0.52%,0.34%,1.48%,2.45%
