Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
484,Ingram,69345,61.45%,32.98%,0.36%,0.54%,2.25%,2.42%
507,Ibarra,66063,2.95%,0.15%,1.24%,0.12%,0.23%,95.32%
1019,Irwin,34297,92.62%,2.18%,0.70%,0.68%,1.61%,2.21%
1474,Inman,24222,88.35%,6.62%,0.58%,0.64%,1.65%,2.15%
1546,Ivey,23263,71.62%,22.66%,0.44%,1.04%,2.04%,2.21%
1695,Irvin,21263,68.00%,26.11%,0.44%,0.63%,2.45%,2.38%
1898,Isaac,18903,40.46%,40.09%,4.41%,2.89%,2.61%,9.53%
2290,Ibrahim,15915,53.26%,31.35%,8.17%,0.13%,4.73%,2.36%
2346,Iverson,15539,86.97%,7.59%,0.59%,0.39%,1.87%,2.57%
2422,Isaacs,14951,83.93%,9.58%,1.07%,1.10%,2.08%,2.23%
2433,Irving,14896,51.42%,40.75%,0.49%,1.74%,2.68%,2.93%
2445,Ireland,14800,88.30%,6.86%,0.56%,0.61%,1.32%,2.34%
2560,Irizarry,14114,8.99%,1.33%,0.30%,0.19%,0.18%,89.00%
2667,Ivy,13524,55.32%,38.52%,0.58%,0.50%,2.85%,2.24%
3138,Irby,11506,50.96%,44.19%,0.42%,0.35%,2.12%,1.96%
3252,Infante,11102,14.59%,0.39%,4.07%,0.13%,0.26%,80.56%
3354,Islam,10670,3.43%,3.89%,87.78%,0.49%,3.33%,1.09%
3387,Iglesias,10546,8.03%,0.45%,3.09%,0.08%,0.48%,87.87%
3409,Ingle,10497,91.33%,1.09%,1.45%,0.86%,1.75%,3.52%
3488,Israel,10245,70.01%,19.64%,3.13%,0.85%,1.80%,4.57%
3535,Isom,10099,55.44%,38.00%,0.65%,0.92%,2.86%,2.12%
3594,Isbell,9905,89.12%,5.38%,0.34%,0.65%,1.79%,2.73%
3769,Irvine,9397,86.99%,6.04%,1.17%,0.81%,2.54%,2.45%
3853,Islas,9200,4.30%,0.54%,0.34%,0.10%,0.17%,94.54%
4057,Iñiguez,8750,2.99%,0.06%,0.27%,0.15%,0.10%,96.42%
4121,Ibáñez,8614,5.94%,0.35%,8.01%,0.31%,1.00%,84.39%
4317,Ives,8233,91.17%,2.48%,0.81%,1.32%,1.94%,2.27%
4628,Isaacson,7668,95.36%,0.20%,0.83%,0.50%,1.16%,1.96%
4804,Irons,7358,70.22%,22.30%,1.16%,0.83%,2.75%,2.75%
4813,Irish,7336,88.69%,5.23%,0.70%,0.45%,2.06%,2.88%
4893,Ivory,7201,21.21%,73.18%,0.24%,0.17%,3.01%,2.19%
5213,Ison,6697,86.22%,6.42%,3.72%,0.52%,1.49%,1.63%
5394,Ingalls,6453,93.62%,1.64%,0.71%,0.34%,1.52%,2.17%
5449,Ingersoll,6388,91.62%,2.43%,0.80%,0.63%,1.89%,2.63%
5469,Izaguirre,6358,4.22%,0.22%,0.16%,0.09%,0.19%,95.12%
5566,Ingraham,6248,82.65%,11.81%,0.51%,1.01%,1.68%,2.34%
5594,Ignacio,6219,7.27%,0.56%,57.92%,2.83%,4.61%,26.80%
5668,Ismail,6126,44.07%,25.40%,22.51%,0.23%,5.57%,2.22%
5791,Izquierdo,5974,5.19%,0.65%,0.22%,(S),(S),93.69%
5970,Iqbal,5764,5.05%,0.71%,88.34%,0.36%,3.87%,1.67%
6880,Im,4887,2.13%,(S),94.90%,(S),1.80%,0.88%
7098,Izzo,4717,94.45%,0.34%,0.72%,0.23%,1.02%,3.24%
7536,Ivie,4411,90.27%,3.65%,0.66%,0.88%,2.24%,2.29%
7644,Ito,4344,6.51%,(S),82.55%,(S),6.77%,3.61%
7796,Ippolito,4246,94.75%,0.33%,0.52%,0.19%,0.78%,3.44%
7988,Isham,4139,79.61%,6.19%,0.92%,7.20%,2.73%,3.36%
8110,Issa,4088,70.03%,15.48%,3.01%,0.22%,5.60%,5.65%
8295,Ice,3994,88.58%,5.28%,0.95%,1.40%,1.73%,2.05%
8369,Iyer,3956,2.73%,0.13%,94.19%,0.30%,2.35%,0.30%
8605,Ivanov,3826,98.04%,0.13%,0.26%,0.00%,0.44%,1.12%
8669,Isenberg,3790,95.86%,0.21%,0.69%,0.13%,1.03%,2.08%
8736,Isley,3754,80.39%,13.88%,0.80%,0.77%,1.97%,2.18%
8780,Imhoff,3734,94.91%,0.35%,0.62%,0.43%,1.15%,2.54%
9338,Ingham,3487,92.57%,3.10%,0.57%,0.23%,1.58%,1.95%
10132,Iraheta,3182,2.92%,0.22%,0.35%,(S),(S),96.32%
10577,Ingles,3031,74.89%,1.45%,2.05%,0.20%,1.06%,20.36%
10819,Iles,2944,81.08%,14.23%,0.61%,0.48%,1.22%,2.38%
10993,Innes,2893,89.60%,4.46%,1.00%,0.41%,1.62%,2.90%
11335,Ide,2784,84.88%,(S),9.27%,(S),2.01%,1.90%
11393,Ickes,2768,95.63%,0.22%,0.22%,0.33%,1.77%,1.84%
11456,Ishmael,2750,65.20%,19.56%,7.13%,1.27%,4.29%,2.55%
11716,Ikeda,2675,6.32%,0.22%,79.40%,0.00%,10.92%,3.14%
11815,Inglis,2649,93.13%,1.81%,0.57%,0.42%,1.70%,2.38%
11821,Inouye,2647,8.84%,(S),72.95%,(S),12.54%,5.29%
12164,Iversen,2562,93.95%,0.20%,0.59%,0.43%,1.76%,3.08%
12597,Ivery,2457,7.69%,85.02%,0.33%,0.24%,4.27%,2.44%
12642,Imes,2448,73.82%,19.98%,0.61%,0.41%,3.35%,1.84%
12881,Ince,2389,74.17%,17.58%,0.80%,1.38%,2.26%,3.81%
13368,Isler,2280,61.89%,33.03%,0.57%,0.31%,1.32%,2.89%
13462,Immel,2262,96.15%,0.40%,0.22%,0.35%,0.62%,2.25%
13727,Ivers,2205,95.37%,0.68%,0.41%,0.32%,1.09%,2.13%
13944,Iorio,2165,94.83%,(S),0.74%,(S),0.83%,3.46%
14127,Isidro,2127,3.29%,0.33%,27.50%,0.24%,1.41%,67.23%
14316,Imler,2090,96.08%,0.57%,0.29%,0.29%,1.48%,1.29%
14342,Inge,2086,59.40%,33.41%,0.62%,0.43%,3.50%,2.64%
14505,Ip,2057,2.38%,(S),94.70%,(S),2.09%,0.73%
14724,Innis,2018,69.72%,21.66%,0.79%,1.34%,2.03%,4.46%
14876,Iacono,1990,94.32%,0.55%,0.40%,0.25%,0.80%,3.67%
14950,Ingold,1978,95.40%,0.56%,0.81%,0.51%,1.42%,1.31%
14979,Imel,1973,92.45%,0.81%,0.56%,0.41%,2.48%,3.29%
15250,Inzunza,1928,1.97%,(S),0.26%,(S),(S),97.41%
15325,Irick,1914,77.06%,18.44%,0.63%,0.42%,1.52%,1.93%
15434,Interiano,1898,3.37%,(S),(S),0.00%,0.26%,96.05%
15449,Ivester,1896,92.99%,2.06%,0.58%,0.90%,1.74%,1.74%
15606,Ishii,1873,7.63%,(S),75.12%,(S),12.49%,4.27%
15818,Istre,1841,96.20%,(S),(S),0.71%,1.14%,1.41%
15889,Iler,1830,92.35%,3.11%,0.33%,0.33%,1.26%,2.62%
16004,Ing,1814,30.21%,1.27%,56.67%,0.28%,7.55%,4.02%
16370,Inskeep,1759,92.15%,1.93%,0.51%,0.80%,1.65%,2.96%
16833,Ishikawa,1696,7.02%,(S),80.31%,(S),9.73%,2.59%
17104,Isabell,1659,55.82%,37.07%,0.96%,0.78%,1.99%,3.38%
17193,Isenhour,1647,96.78%,0.49%,(S),(S),0.73%,1.52%
17239,Inocencio,1643,8.03%,(S),31.83%,(S),2.37%,56.91%
