Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
34,King,465422,70.16%,22.76%,1.23%,0.98%,2.31%,2.55%
74,Kelly,267394,78.09%,16.22%,0.64%,0.54%,1.81%,2.69%
77,Kim,262352,2.52%,0.39%,94.47%,0.02%,1.96%,0.65%
146,Kennedy,176865,80.82%,13.63%,0.62%,0.61%,1.87%,2.45%
198,Kelley,140693,83.78%,10.80%,0.55%,0.66%,2.03%,2.18%
209,Knight,136713,72.31%,21.61%,0.52%,0.90%,2.17%,2.50%
317,Keller,98268,91.40%,3.86%,0.57%,0.46%,1.45%,2.26%
392,Klein,81471,95.41%,0.32%,0.60%,0.23%,1.13%,2.30%
427,Khan,76171,6.89%,3.86%,81.25%,0.54%,5.27%,2.20%
526,Kramer,63936,95.35%,0.34%,0.61%,0.25%,1.24%,2.21%
623,Kirk,54394,82.37%,10.56%,1.29%,1.38%,2.06%,2.34%
633,Kirby,53767,85.90%,9.16%,0.50%,0.73%,1.78%,1.93%
680,Kane,50584,89.08%,4.57%,1.67%,0.47%,1.77%,2.43%
698,Koch,49395,95.29%,0.26%,0.73%,0.29%,1.12%,2.30%
711,Kaur,48753,1.13%,0.27%,96.09%,0.64%,1.50%,0.37%
718,Keith,48487,79.32%,14.52%,0.67%,1.08%,2.13%,2.28%
753,Kemp,46146,71.72%,22.83%,0.49%,0.69%,2.21%,2.07%
761,Kline,45390,94.18%,1.62%,0.51%,0.34%,1.33%,2.02%
769,Knox,44742,63.40%,30.58%,0.49%,0.74%,2.49%,2.31%
771,Kerr,44711,86.86%,7.52%,0.80%,0.60%,1.78%,2.44%
778,Kent,44325,83.88%,10.41%,0.81%,0.67%,1.94%,2.29%
825,Knapp,41771,94.71%,0.58%,0.64%,0.44%,1.36%,2.27%
946,Krueger,36743,95.97%,0.24%,0.63%,0.36%,1.06%,1.73%
1007,Kaufman,34844,94.57%,1.50%,0.57%,0.20%,1.13%,2.04%
1009,Krause,34722,95.12%,0.47%,0.65%,0.33%,1.27%,2.17%
1037,Key,33501,68.56%,24.61%,0.90%,0.99%,2.33%,2.61%
1039,Kaiser,33480,93.15%,1.66%,1.04%,0.45%,1.38%,2.32%
1060,Kidd,33186,75.09%,19.50%,0.54%,0.51%,2.05%,2.31%
1084,Kang,32221,3.08%,0.56%,93.86%,0.03%,1.81%,0.67%
