Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
38,Nguyễn,437645,0.95%,0.12%,96.45%,0.03%,1.83%,0.63%
43,Nelson,424958,77.66%,15.97%,0.67%,1.16%,2.00%,2.55%
189,Nichols,145584,82.42%,11.88%,0.52%,0.76%,1.99%,2.43%
242,Nuñez,125350,5.28%,0.67%,0.83%,0.26%,0.23%,92.72%
307,Newman,101931,83.03%,11.08%,0.61%,0.69%,1.99%,2.60%
315,Navarro,99807,6.66%,0.38%,4.04%,0.23%,0.55%,88.14%
337,Neal,91694,62.10%,31.84%,0.60%,0.68%,2.61%,2.16%
346,Norris,89796,79.88%,14.41%,0.52%,0.94%,2.04%,2.20%
443,Newton,74092,75.66%,18.42%,0.62%,0.68%,2.05%,2.56%
495,Norman,67704,68.97%,25.07%,0.63%,0.63%,2.25%,2.44%
531,Norton,63722,87.84%,6.55%,0.55%,1.19%,1.75%,2.12%
569,Nash,58714,69.34%,24.62%,0.53%,0.80%,2.43%,2.29%
575,Nicholson,58151,74.25%,19.89%,0.54%,0.62%,2.15%,2.54%
754,Nolan,46054,86.85%,7.44%,0.58%,0.56%,1.66%,2.91%
810,Nielsen,42773,94.15%,0.35%,0.88%,0.41%,1.50%,2.71%
829,Noble,41667,77.69%,14.40%,1.65%,0.74%,2.12%,3.40%
874,Nava,39670,4.48%,0.27%,1.08%,0.22%,0.20%,93.76%
907,Nixon,38147,62.04%,31.59%,0.57%,0.72%,2.51%,2.57%
980,Novak,35461,95.47%,0.33%,0.70%,0.21%,1.07%,2.23%
1004,Nieves,34896,5.66%,1.14%,0.61%,0.09%,0.21%,92.28%
1062,Ngo,33005,0.92%,(S),96.46%,(S),1.69%,0.65%
1064,Newell,32909,79.08%,15.28%,0.61%,0.77%,1.85%,2.41%
1103,Noel,31768,59.83%,33.62%,0.92%,0.52%,1.74%,3.37%
1125,Ng,31210,1.92%,0.22%,93.20%,0.04%,2.81%,1.81%
1258,Nicholas,27922,73.29%,17.12%,1.22%,1.73%,2.40%,4.24%
1376,Nieto,25701,7.32%,0.19%,0.91%,0.93%,0.34%,90.31%
1438,Nix,24786,81.05%,13.29%,0.44%,0.84%,2.07%,2.31%
1471,Navarrete,24259,3.35%,0.22%,1.45%,0.07%,0.17%,94.74%
1487,Nance,24018,71.75%,22.71%,0.47%,0.67%,2.16%,2.24%
1491,Newsome,23958,57.53%,37.88%,0.32%,0.30%,2.12%,1.85%
1502,Neely,23843,71.21%,23.81%,0.47%,0.39%,2.23%,1.90%
1577,Neff,22764,94.78%,1.02%,0.67%,0.42%,1.33%,1.79%
1596,Norwood,22461,52.53%,41.38%,0.41%,0.65%,2.70%,2.33%
1766,North,20343,85.18%,9.43%,0.67%,0.62%,1.84%,2.26%
1872,Napier,19182,84.30%,10.94%,0.50%,0.46%,1.92%,1.88%
1902,Nowak,18891,96.12%,0.39%,0.56%,0.14%,0.72%,2.08%
1963,Negrón,18413,7.05%,1.19%,0.26%,0.10%,0.34%,91.06%
1971,Najera,18340,3.66%,0.27%,0.61%,0.28%,0.24%,94.95%
2067,Neumann,17484,94.80%,0.34%,0.72%,0.30%,1.16%,2.68%
2164,Nunn,16769,67.43%,25.77%,0.79%,0.77%,2.73%,2.51%
2169,Naylor,16745,82.50%,12.19%,0.54%,0.59%,1.93%,2.25%
2188,Nevarez,16607,4.50%,0.18%,0.19%,0.45%,0.22%,94.46%
2281,Nugent,15977,87.76%,6.53%,1.03%,0.33%,1.70%,2.65%
2283,Nickerson,15970,76.02%,17.98%,0.49%,0.65%,2.10%,2.76%
2328,Naranjo,15658,5.45%,0.20%,0.51%,1.97%,0.29%,91.58%
2354,Nagy,15497,95.36%,0.38%,0.61%,0.20%,0.99%,2.46%
2384,Negrete,15245,5.07%,0.12%,0.21%,0.16%,0.17%,94.27%
2477,Noriega,14559,5.78%,0.69%,1.88%,0.81%,0.27%,90.57%
2480,Nagel,14545,94.79%,0.33%,0.86%,0.50%,1.14%,2.38%
2534,Newcomb,14292,92.69%,1.84%,0.75%,0.61%,2.00%,2.11%
2675,Newberry,13482,86.21%,8.59%,0.65%,0.52%,1.92%,2.11%
2711,Noonan,13286,94.90%,0.84%,0.59%,0.24%,1.16%,2.26%
2717,Nesbitt,13248,59.74%,35.03%,0.54%,0.35%,2.23%,2.11%
2782,Nobles,12965,64.09%,28.95%,0.62%,0.52%,2.25%,3.56%
2929,Nadeau,12236,92.55%,0.42%,0.43%,3.02%,2.02%,1.57%
2942,Nunes,12191,69.95%,5.41%,1.57%,0.30%,2.68%,20.09%
2952,Nye,12167,93.79%,0.86%,1.13%,0.59%,1.50%,2.14%
3011,New,11903,88.62%,4.39%,1.49%,0.86%,1.82%,2.82%
3053,Neville,11739,84.36%,10.89%,0.69%,0.41%,1.55%,2.10%
3102,Nolasco,11609,3.85%,0.33%,5.31%,0.11%,0.49%,89.91%
3137,Nielson,11511,93.88%,0.78%,0.72%,0.58%,1.43%,2.60%
3148,Newby,11483,70.63%,23.76%,0.57%,0.66%,2.28%,2.10%
3198,Nettles,11302,57.08%,38.30%,0.36%,0.40%,1.94%,1.92%
3218,Newsom,11218,75.31%,18.24%,0.63%,0.84%,2.27%,2.71%
3224,Niño,11202,8.37%,0.54%,1.99%,0.27%,0.38%,88.45%
3229,Noe,11182,90.87%,0.78%,1.82%,0.55%,1.71%,4.27%
3272,Ness,11037,93.88%,0.85%,1.00%,0.73%,1.61%,1.93%
3289,Needham,10983,90.39%,3.48%,0.97%,1.40%,1.53%,2.23%
3292,Nagle,10963,93.53%,0.69%,2.13%,0.20%,1.35%,2.10%
3315,Nolen,10820,78.19%,16.42%,0.59%,0.53%,2.17%,2.10%
3363,Newkirk,10620,60.99%,33.74%,0.39%,0.49%,2.29%,2.11%
3373,Narváez,10579,5.13%,0.62%,3.02%,0.10%,0.45%,90.66%
3442,Noll,10374,95.27%,0.75%,0.53%,0.28%,0.97%,2.20%
3496,Neil,10228,80.09%,13.68%,1.15%,0.46%,2.12%,2.49%
3511,Niles,10173,77.40%,16.01%,0.88%,0.46%,2.01%,3.23%
3562,Nilson,10010,66.04%,27.47%,0.69%,0.93%,2.28%,2.59%
3666,Noyes,9710,93.29%,0.69%,0.79%,0.73%,1.65%,2.85%
3768,Neill,9404,93.12%,1.01%,0.70%,0.40%,1.84%,2.92%
3772,Noland,9386,84.65%,8.98%,0.67%,0.80%,2.07%,2.83%
3816,Neeley,9288,84.86%,9.21%,0.52%,1.03%,2.19%,2.20%
3936,Nunley,9046,76.11%,17.91%,0.21%,0.96%,2.66%,2.14%
3951,Nicolas,9006,18.00%,25.73%,17.73%,0.26%,2.74%,35.54%
3957,Neuman,8982,93.43%,1.18%,0.67%,0.45%,1.47%,2.81%
4241,Németh,8362,95.20%,0.32%,0.48%,0.07%,1.27%,2.65%
4284,Nathan,8300,56.87%,27.13%,9.46%,0.72%,2.95%,2.87%
4291,Nickel,8292,95.30%,0.62%,0.55%,0.48%,1.34%,1.71%
4368,Nutter,8137,89.11%,6.27%,0.48%,0.66%,1.61%,1.87%
4394,Neri,8094,31.96%,0.57%,6.29%,0.17%,1.24%,59.77%
4454,Nall,7966,83.81%,10.52%,0.80%,0.70%,1.97%,2.20%
4633,Nakamura,7658,6.48%,0.21%,78.87%,0.22%,11.20%,3.02%
4706,Nutt,7541,88.34%,6.21%,1.10%,0.70%,1.64%,2.00%
4719,Nair,7513,10.29%,1.14%,84.17%,0.48%,3.26%,0.65%
4735,Newland,7491,88.37%,6.75%,0.68%,0.35%,1.62%,2.23%
4833,Nelms,7303,74.75%,20.18%,0.45%,0.41%,1.71%,2.49%
4887,Neel,7209,92.90%,1.25%,0.94%,1.12%,1.32%,2.47%
4910,Null,7170,93.58%,2.09%,0.56%,0.43%,1.35%,1.98%
4917,Napolitano,7153,93.26%,0.32%,0.73%,0.14%,1.17%,4.38%
4936,Nail,7133,86.74%,5.40%,0.98%,2.33%,2.07%,2.48%
4940,Nation,7125,79.14%,13.21%,1.40%,1.54%,2.30%,2.40%
4955,Nesmith,7097,51.87%,41.41%,0.59%,0.44%,1.82%,3.87%
5128,Nelsen,6825,94.97%,0.57%,0.59%,0.28%,1.35%,2.24%
5216,Nowlin,6692,70.64%,21.77%,0.55%,1.11%,2.99%,2.94%
5258,Nazario,6636,8.42%,1.42%,2.03%,(S),(S),87.28%
5270,Novotný,6617,96.31%,0.38%,0.29%,0.35%,1.03%,1.65%
5319,Neilson,6553,92.34%,2.43%,0.61%,0.56%,1.71%,2.35%
5348,Nuño,6506,4.26%,0.65%,0.38%,0.18%,0.18%,94.34%
5377,Newhouse,6471,88.44%,7.29%,0.56%,0.25%,1.70%,1.76%
5569,Nam,6244,3.33%,0.98%,92.87%,0.08%,1.76%,0.98%
5624,Nolte,6180,94.98%,0.37%,0.63%,0.23%,1.23%,2.56%
5633,Northcutt,6170,87.15%,6.92%,0.57%,0.91%,1.56%,2.90%
5676,Nowell,6112,76.77%,17.15%,0.74%,0.56%,2.00%,2.80%
5727,Nowicki,6056,96.12%,0.13%,0.51%,0.40%,1.02%,1.82%
5738,Nason,6040,85.68%,7.90%,1.19%,1.31%,2.22%,1.71%
5848,Neubauer,5911,95.23%,0.22%,0.80%,0.36%,0.96%,2.44%
5894,Nickell,5855,94.19%,0.63%,0.34%,0.91%,1.50%,2.43%
5903,Nester,5847,94.58%,1.52%,0.44%,0.63%,0.96%,1.86%
6008,Nestor,5723,82.28%,6.71%,0.89%,0.10%,1.29%,8.72%
6010,Nicholls,5722,84.06%,8.63%,0.70%,0.72%,1.28%,4.61%
6017,Nabors,5718,70.64%,24.29%,0.30%,0.63%,2.43%,1.71%
6057,Northrup,5663,92.23%,0.72%,0.65%,2.07%,2.14%,2.19%
6188,Natale,5529,94.16%,(S),0.69%,(S),1.39%,3.17%
6220,Nordstrom,5498,95.22%,0.24%,0.67%,0.44%,1.40%,2.04%
6379,Neese,5335,93.89%,0.88%,0.54%,0.58%,1.71%,2.40%
6384,Noah,5332,80.70%,7.80%,2.16%,3.81%,2.19%,3.34%
6448,Naughton,5264,92.33%,2.68%,1.12%,0.30%,1.39%,2.18%
6449,Newcomer,5263,94.83%,0.30%,0.78%,0.40%,1.65%,2.03%
6598,Nalley,5134,91.12%,4.07%,0.58%,0.45%,1.58%,2.20%
6608,Napoli,5127,93.97%,0.35%,0.57%,0.12%,0.90%,4.10%
6688,Nevins,5052,86.44%,8.25%,0.83%,0.46%,1.58%,2.43%
6729,Nicol,5012,90.08%,3.57%,0.86%,0.68%,1.68%,3.13%
6748,Neves,4997,75.55%,7.20%,2.88%,0.48%,4.18%,9.71%
6796,Nissen,4964,95.00%,0.22%,0.99%,0.22%,1.31%,2.26%
6809,Navas,4953,13.02%,0.87%,1.45%,0.18%,0.55%,83.93%
6814,Nickels,4949,91.98%,4.14%,0.63%,0.40%,1.03%,1.82%
6819,Nave,4946,82.43%,7.74%,2.20%,1.09%,2.55%,3.98%
6857,Nieman,4907,95.37%,0.41%,0.51%,0.35%,0.94%,2.43%
6926,Neary,4844,95.33%,0.97%,0.62%,0.12%,1.22%,1.73%
6948,Nez,4827,2.22%,0.23%,0.10%,92.13%,2.28%,3.05%
6949,Nay,4826,80.11%,4.16%,9.86%,0.77%,1.86%,3.23%
6969,Neighbors,4814,88.80%,5.96%,0.39%,1.20%,2.12%,1.52%
6998,Nicely,4789,88.45%,6.49%,0.65%,0.50%,2.11%,1.80%
7016,Nigro,4773,93.71%,0.31%,0.94%,0.19%,1.30%,3.54%
7021,Nesbit,4765,67.01%,26.09%,0.92%,0.65%,2.60%,2.73%
7128,Newson,4693,21.93%,71.85%,0.28%,0.26%,3.22%,2.47%
7160,Nasser,4673,79.26%,3.00%,4.71%,0.19%,7.38%,5.46%
7204,Nord,4635,87.81%,6.08%,1.17%,0.43%,1.34%,3.17%
7205,Nickles,4634,77.60%,15.32%,0.45%,0.82%,2.14%,3.67%
7217,Ni,4624,1.92%,(S),94.90%,(S),1.41%,1.15%
7230,Naquin,4617,82.39%,2.45%,0.26%,10.35%,2.84%,1.71%
7255,Nightingale,4596,89.06%,5.48%,0.52%,0.35%,1.85%,2.74%
7426,Nealy,4485,36.01%,57.97%,0.18%,0.42%,3.26%,2.16%
7666,Niemeyer,4332,95.18%,0.23%,0.78%,0.12%,1.22%,2.47%
7684,Nussbaum,4321,96.81%,0.28%,0.62%,0.16%,1.13%,1.00%
7756,Novoa,4281,7.10%,0.23%,0.35%,(S),(S),92.15%
7759,Noyola,4279,3.39%,0.42%,0.21%,0.19%,0.14%,95.65%
7767,Niemi,4272,94.73%,0.26%,0.51%,0.84%,1.83%,1.83%
7787,Nero,4259,49.21%,42.17%,1.20%,0.45%,3.29%,3.69%
7816,Newport,4235,91.71%,2.83%,0.76%,0.94%,1.72%,2.03%
7885,Natividad,4198,5.31%,0.43%,40.02%,0.24%,3.67%,50.33%
7908,Niemann,4184,95.55%,0.19%,0.53%,0.24%,0.88%,2.61%
7926,Newlin,4175,92.48%,2.23%,0.60%,0.98%,1.56%,2.16%
7933,Neu,4170,94.08%,0.50%,1.77%,0.31%,1.18%,2.16%
7944,Nottingham,4165,82.47%,11.74%,0.55%,0.84%,2.14%,2.26%
7956,Nilsen,4158,93.72%,0.29%,0.91%,0.29%,1.39%,3.39%
7958,Nipper,4157,91.15%,4.40%,0.75%,0.65%,1.37%,1.68%
7988,Norfleet,4139,38.10%,56.10%,0.68%,0.34%,2.88%,1.91%
8030,Nystrom,4122,94.83%,0.41%,0.68%,0.53%,1.89%,1.65%
8168,Nunnally,4058,63.36%,30.93%,0.57%,0.39%,2.61%,2.14%
8305,Northrop,3990,94.36%,1.10%,0.60%,0.20%,1.53%,2.21%
8599,Neale,3828,84.09%,9.74%,0.71%,0.71%,1.88%,2.87%
8695,Nicks,3775,68.05%,26.99%,0.53%,0.19%,1.99%,2.25%
8713,Neiman,3766,94.37%,0.64%,0.80%,0.19%,1.25%,2.76%
8714,Nuss,3765,95.94%,0.66%,0.56%,0.13%,1.09%,1.62%
