Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
68,Ortiz,286899,4.96%,0.64%,0.67%,0.37%,0.25%,93.11%
140,Owens,182719,65.85%,28.41%,0.36%,0.75%,2.47%,2.17%
157,Olson,164035,94.76%,0.40%,0.66%,0.72%,1.43%,2.03%
239,Ortega,127256,4.77%,0.29%,1.15%,0.43%,0.25%,93.11%
258,O'Brien,118557,93.85%,1.29%,0.76%,0.37%,1.42%,2.32%
264,Oliver,115900,64.19%,27.45%,0.68%,0.74%,2.43%,4.52%
408,Ochoa,78677,4.53%,0.29%,0.54%,0.36%,0.18%,94.09%
417,O'Connor,77923,92.81%,2.12%,0.75%,0.33%,1.37%,2.61%
502,Osborne,66827,82.28%,12.39%,0.50%,0.65%,1.97%,2.22%
512,Orozco,65904,3.40%,0.17%,0.39%,0.15%,0.12%,95.76%
543,Owen,61630,91.78%,2.37%,0.73%,0.87%,1.71%,2.54%
566,Olsen,59356,93.69%,0.34%,0.77%,0.76%,1.79%,2.65%
689,O'Neill,50028,92.67%,0.94%,0.77%,0.27%,1.36%,3.99%
729,O'Neal,47979,64.55%,29.17%,0.44%,0.74%,2.62%,2.48%
774,Orr,44388,79.42%,15.00%,0.65%,0.77%,1.96%,2.20%
795,O'Donnell,43460,95.10%,0.47%,0.56%,0.27%,1.22%,2.38%
961,O'Connell,36194,95.42%,0.32%,0.59%,0.18%,1.28%,2.20%
996,Odom,35020,69.03%,25.85%,0.45%,0.58%,1.99%,2.11%
1078,Osborn,32439,91.04%,2.89%,0.67%,0.89%,1.93%,2.57%
1117,Odell,31349,91.44%,2.39%,0.57%,0.77%,1.85%,2.98%
1199,Osorio,29482,3.70%,0.55%,1.17%,0.14%,0.21%,94.23%
1220,O'Neil,28949,88.03%,6.46%,0.55%,0.51%,1.78%,2.67%
1275,Olvera,27551,4.29%,0.14%,0.15%,0.22%,0.13%,95.08%
1319,Orellana,26651,3.46%,0.37%,0.35%,0.06%,0.12%,95.64%
1373,Ott,25738,94.06%,1.22%,0.56%,0.66%,1.44%,2.07%
1374,Ocampo,25720,3.18%,0.14%,14.56%,0.15%,0.89%,81.08%
1490,Olivares,23982,3.89%,0.22%,0.98%,0.14%,0.16%,94.62%
1568,Ornelas,22969,6.12%,0.22%,0.22%,0.27%,0.18%,92.99%
1587,Otto,22558,92.73%,2.06%,1.18%,0.60%,1.19%,2.23%
1607,O'Leary,22329,93.69%,1.03%,0.77%,0.42%,1.50%,2.59%
1633,Ojeda,22045,4.75%,0.44%,0.86%,0.11%,0.19%,93.65%
1660,O'Hara,21710,88.39%,2.81%,3.40%,0.28%,1.80%,3.33%
1716,Otero,20937,8.97%,0.66%,0.54%,0.71%,0.24%,88.88%
1785,Olivas,20106,6.13%,0.24%,0.94%,0.63%,0.34%,91.71%
1835,Oliva,19513,21.82%,0.67%,2.84%,0.18%,0.60%,73.89%
1887,Oliveira,19055,83.93%,4.81%,1.86%,0.26%,2.61%,6.53%
1906,Ogden,18860,90.59%,3.73%,0.54%,0.74%,1.62%,2.78%
1914,Overton,18820,67.18%,27.09%,0.39%,0.39%,2.73%,2.22%
1952,Ordóñez,18498,4.10%,0.42%,4.68%,0.08%,0.50%,90.23%
1978,Oh,18285,1.99%,0.19%,95.48%,0.05%,1.78%,0.51%
2046,O'Malley,17588,95.24%,0.39%,0.66%,0.23%,1.37%,2.12%
2065,Oakes,17499,90.57%,3.91%,0.69%,1.09%,1.80%,1.95%
2079,O'Keefe,17414,94.72%,0.36%,0.72%,0.28%,1.26%,2.66%
2099,Oakley,17238,84.98%,9.94%,0.49%,0.61%,1.86%,2.12%
2213,O'Rourke,16457,94.11%,0.58%,0.71%,0.66%,1.31%,2.62%
2225,Ontiveros,16382,4.80%,0.21%,0.26%,0.21%,0.27%,94.24%
2524,Ogle,14354,91.65%,2.63%,0.57%,1.11%,1.88%,2.15%
2530,Oswald,14322,94.81%,0.89%,0.62%,0.34%,1.28%,2.06%
2583,Ouellette,13984,95.92%,0.25%,0.42%,0.44%,1.42%,1.54%
2792,Oldham,12928,85.84%,8.90%,0.53%,0.69%,1.80%,2.23%
2865,Orlando,12586,89.39%,1.28%,0.94%,0.14%,0.93%,7.33%
2907,Overstreet,12342,78.16%,17.17%,0.37%,0.50%,1.95%,1.85%
2919,Oglesby,12271,63.37%,31.20%,0.42%,0.51%,2.22%,2.29%
2940,Oates,12202,61.02%,33.99%,0.30%,0.48%,2.00%,2.21%
2970,O'Reilly,12074,91.86%,2.05%,0.71%,0.35%,1.54%,3.50%
3032,O'Sullivan,11818,93.83%,1.72%,0.77%,0.18%,1.24%,2.26%
3309,O'Toole,10842,95.31%,0.46%,0.68%,0.15%,0.98%,2.43%
