Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic,,
22,Pérez,681645,4.96%,0.45%,1.17%,0.20%,0.26%,92.95%,,
52,Phillips,360802,76.69%,17.09%,0.58%,1.03%,2.17%,2.44%,,
56,Parker,336221,69.17%,24.79%,0.54%,0.88%,2.35%,2.26%,,
71,Peterson,278297,84.39%,10.09%,0.66%,0.74%,1.72%,2.40%,,
91,Price,235251,73.93%,20.51%,0.51%,0.66%,2.14%,2.24%,,
95,Patel,229973,2.10%,0.38%,94.78%,0.65%,1.65%,0.44%,,
101,Powell,224874,67.20%,27.12%,0.46%,0.62%,2.29%,2.31%,,
103,Perry,221741,68.32%,25.20%,0.57%,0.81%,2.43%,2.67%,,
117,Patterson,205423,67.27%,26.80%,0.47%,0.68%,2.35%,2.43%,,
159,Porter,163054,68.57%,25.40%,0.55%,0.72%,2.31%,2.45%,,
172,Palmer,156601,75.08%,18.57%,0.55%,0.81%,2.11%,2.87%,,
195,Payne,142601,71.55%,22.63%,0.45%,0.58%,2.37%,2.42%,,
202,Pierce,138629,80.98%,12.86%,0.53%,1.06%,2.10%,2.47%,,
205,Peters,137513,82.86%,10.41%,0.98%,1.33%,1.86%,2.55%,,
223,Perkins,131440,69.45%,24.60%,0.53%,0.73%,2.33%,2.37%,,
227,Peña,130776,5.34%,0.52%,1.09%,0.31%,0.24%,92.50%,,
289,Park,106696,23.34%,0.79%,72.98%,0.16%,1.74%,1.00%,,
293,Padilla,105365,6.15%,0.40%,2.10%,0.79%,0.41%,90.16%,,
308,Pearson,101836,72.14%,22.51%,0.56%,0.41%,2.14%,2.24%,,
336,Powers,91970,89.60%,5.15%,0.65%,0.55%,1.65%,2.39%,,
354,Parks,88586,69.39%,24.91%,0.59%,0.67%,2.38%,2.06%,,
370,Pham,84320,0.90%,0.20%,96.33%,0.03%,1.81%,0.72%,,
383,Page,82992,75.12%,18.93%,0.66%,0.65%,2.02%,2.62%,,
415,Paul,78256,66.99%,20.13%,6.25%,2.05%,1.92%,2.67%,,
419,Pacheco,77642,15.32%,0.57%,1.16%,0.72%,0.81%,81.43%,,
457,Potter,72175,89.07%,5.13%,0.56%,0.78%,1.96%,2.50%,,
496,Person,67411,45.58%,34.51%,4.14%,1.12%,1.78%,12.88%,,
498,Parsons,67310,91.09%,3.60%,0.60%,0.67%,1.75%,2.27%,,
506,Patton,66293,73.05%,20.90%,0.49%,0.88%,2.25%,2.44%,,
528,Pope,63881,70.83%,23.77%,0.47%,0.61%,2.13%,2.19%,,
541,Pratt,61671,78.04%,15.69%,0.62%,1.00%,2.02%,2.63%,,
552,Patrick,60845,73.73%,20.35%,0.73%,1.03%,2.01%,2.15%,,
553,Pineda,60820,3.29%,0.32%,5.28%,0.12%,0.32%,90.67%,,
571,Petersen,58480,93.42%,1.33%,0.76%,0.44%,1.55%,2.51%,,
604,Poole,56226,72.56%,22.71%,0.48%,0.42%,1.97%,1.85%,,
619,Pittman,55021,63.55%,31.31%,0.36%,0.65%,2.14%,1.99%,,
657,Phelps,52044,85.10%,9.68%,0.52%,0.60%,1.82%,2.29%,,
693,Pitts,49740,63.23%,31.35%,0.46%,0.51%,2.33%,2.12%,,
