Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
9,Rodríguez,1094924,4.75%,0.54%,0.57%,0.18%,0.18%,93.77%
28,Ramírez,557423,3.89%,0.31%,0.93%,0.20%,0.19%,94.48%
30,Robinson,529821,48.70%,44.93%,0.46%,0.53%,2.77%,2.61%
46,Rivera,391114,5.40%,0.95%,2.04%,0.18%,0.37%,91.06%
50,Roberts,376774,77.27%,16.72%,0.61%,0.85%,2.15%,2.40%
60,Reyes,327904,4.41%,0.59%,5.58%,0.24%,0.59%,88.58%
66,Rogers,302261,75.40%,18.53%,0.54%,0.82%,2.10%,2.62%
73,Reed,277030,71.29%,22.63%,0.51%,1.05%,2.30%,2.22%
76,Ramos,263464,6.49%,0.98%,4.89%,0.19%,0.65%,86.79%
80,Richardson,259798,59.70%,33.63%,0.48%,1.10%,2.44%,2.65%
89,Ruiz,238234,5.17%,0.44%,1.03%,0.22%,0.24%,92.89%
98,Ross,229368,68.96%,24.46%,0.61%,0.90%,2.32%,2.75%
104,Russell,221558,77.05%,16.69%,0.57%,1.05%,2.18%,2.46%
115,Romero,208614,8.65%,0.50%,1.30%,0.69%,0.37%,88.50%
121,Reynolds,200247,81.08%,13.21%,0.52%,0.71%,2.02%,2.45%
175,Robertson,153666,73.42%,20.61%,0.52%,0.89%,2.11%,2.46%
177,Rose,153397,82.08%,11.61%,0.72%,0.64%,1.99%,2.96%
184,Rice,149500,77.63%,16.74%,0.57%,0.74%,1.99%,2.33%
193,Ryan,143452,91.65%,3.02%,0.89%,0.43%,1.46%,2.55%
217,Riley,133872,72.79%,21.27%,0.51%,0.87%,2.08%,2.48%
220,Ray,133171,74.97%,17.54%,1.94%,0.93%,2.05%,2.56%
228,Richards,130529,78.67%,14.86%,0.66%,1.04%,1.96%,2.81%
237,Rios,127794,4.99%,0.44%,0.43%,0.32%,0.22%,93.61%
275,Reid,111360,59.83%,34.10%,0.61%,0.56%,2.28%,2.62%
285,Rojas,108421,4.12%,0.37%,0.76%,0.12%,0.16%,94.46%
343,Rhodes,90670,74.76%,20.04%,0.48%,0.62%,1.92%,2.17%
386,Robles,82458,5.07%,0.43%,2.05%,0.36%,0.30%,91.78%
390,Reeves,81978,77.31%,16.52%,0.57%,0.77%,2.12%,2.71%
410,Robbins,78381,87.57%,7.24%,0.49%,0.91%,1.72%,2.06%
412,Ramsey,78350,77.84%,16.51%,0.46%,0.70%,2.02%,2.46%
426,Rivas,76205,4.88%,0.59%,0.41%,0.28%,0.17%,93.67%
428,Rodgers,76095,70.15%,23.84%,0.46%,0.64%,2.22%,2.69%
431,Rosales,75185,3.63%,0.30%,2.39%,0.21%,0.26%,93.21%
445,Reese,73919,66.05%,28.24%,0.44%,0.58%,2.07%,2.62%
452,Roman,72918,20.79%,1.86%,0.97%,0.20%,0.51%,75.67%
478,Rowe,69879,79.26%,15.06%,0.64%,0.57%,2.00%,2.47%
574,Roth,58278,94.86%,0.50%,0.90%,0.29%,1.19%,2.27%
578,Rangel,57549,6.01%,0.29%,0.28%,0.22%,0.18%,93.02%
605,Roberson,56180,51.34%,42.78%,0.38%,0.52%,2.74%,2.23%
613,Rocha,55251,16.45%,0.83%,0.80%,0.34%,0.49%,81.08%
621,Randall,54764,74.65%,19.07%,0.64%,1.16%,2.17%,2.30%
629,Richard,53893,70.35%,23.46%,0.90%,0.57%,1.97%,2.75%
640,Roy,53159,75.20%,9.04%,9.69%,1.54%,1.96%,2.57%
673,Rubio,50788,5.35%,0.28%,1.80%,0.27%,0.25%,92.04%
696,Rich,49481,85.20%,9.29%,0.67%,0.56%,1.87%,2.41%
715,Russo,48696,93.85%,0.43%,0.50%,0.14%,0.94%,4.14%
725,Rosario,48051,5.73%,1.80%,4.51%,0.10%,0.82%,87.02%
764,Roach,45019,80.26%,13.99%,0.50%,0.84%,1.76%,2.65%
765,Rosas,44938,3.86%,0.25%,0.51%,0.18%,0.12%,95.08%
840,Randolph,41129,55.87%,37.71%,0.47%,0.70%,2.88%,2.37%
845,Reilly,40884,95.27%,0.43%,0.70%,0.13%,1.16%,2.31%
857,Raymond,40275,79.07%,13.61%,1.05%,0.94%,2.05%,3.28%
869,Rush,39802,74.04%,20.81%,0.46%,0.68%,1.86%,2.16%
897,Rivers,38662,40.47%,50.93%,0.61%,1.95%,2.64%,3.40%
934,Richmond,37053,71.72%,22.84%,0.53%,0.47%,2.22%,2.22%
947,Rasmussen,36636,94.55%,0.27%,0.82%,0.35%,1.43%,2.58%
987,Reyna,35291,6.18%,0.27%,0.47%,0.45%,0.20%,92.43%
992,Rollins,35132,68.29%,25.95%,0.40%,0.48%,2.40%,2.48%
993,Rowland,35121,86.60%,7.42%,0.60%,1.02%,1.88%,2.48%
1011,Riggs,34506,87.67%,6.09%,0.47%,1.58%,1.82%,2.38%
1035,Rosa,33521,30.00%,2.62%,1.18%,0.14%,1.11%,64.96%
1036,Riddle,33507,88.29%,5.89%,0.53%,1.18%,1.99%,2.11%
1053,Ritter,33252,92.62%,2.99%,0.45%,0.59%,1.36%,2.00%
1122,Rodrigues,31280,45.85%,4.95%,4.35%,0.34%,3.26%,41.26%
1168,Ratliff,30083,78.70%,16.22%,0.45%,0.59%,1.95%,2.09%
1178,Richter,29880,94.78%,0.45%,0.65%,0.22%,1.15%,2.74%
1217,Ritchie,29040,91.45%,3.06%,0.66%,0.60%,1.58%,2.64%
1219,Romano,29018,84.76%,0.53%,1.52%,0.12%,0.81%,12.26%
1229,Rankin,28821,78.47%,15.80%,0.53%,0.49%,2.06%,2.65%
1250,Rutherford,28079,82.13%,11.69%,0.53%,1.16%,2.29%,2.20%
1256,Rentería,27976,4.11%,0.27%,0.16%,0.30%,0.17%,94.98%
1301,Rosado,26998,6.94%,1.53%,0.41%,0.13%,0.22%,90.76%
1306,Rutledge,26887,75.32%,19.21%,0.48%,0.73%,1.92%,2.35%
1326,Rucker,26581,45.71%,48.46%,0.46%,0.43%,2.87%,2.07%
1330,Rouse,26519,68.83%,25.28%,0.44%,1.03%,2.02%,2.39%
1339,Rosenberg,26307,95.18%,0.76%,0.63%,0.19%,1.02%,2.22%
1343,Romo,26283,7.72%,0.21%,0.53%,0.39%,0.33%,90.83%
1348,Rossi,26183,91.29%,0.65%,0.63%,0.21%,1.10%,6.12%
1359,Rico,25954,8.25%,0.68%,1.77%,0.53%,0.47%,88.30%
1392,Robison,25450,88.40%,6.02%,0.44%,1.00%,1.96%,2.17%
1406,Roe,25286,90.91%,3.17%,1.23%,0.58%,1.71%,2.40%
1479,Reece,24145,79.54%,14.43%,0.48%,0.99%,2.28%,2.29%
1545,Rainey,23291,63.18%,31.76%,0.34%,0.68%,2.07%,1.97%
1553,Rubin,23165,88.22%,5.92%,1.36%,0.10%,1.26%,3.13%
1554,Reynoso,23143,3.48%,0.32%,1.60%,0.16%,0.17%,94.28%
1572,Rodríguez,22892,7.25%,1.77%,0.45%,0.73%,0.37%,89.42%
1585,Rosen,22596,94.48%,0.63%,0.83%,0.33%,1.03%,2.70%
1616,Ramey,22287,84.77%,10.19%,0.38%,0.60%,1.93%,2.13%
1642,Regan,21951,92.93%,1.87%,0.91%,0.34%,1.36%,2.59%
1647,Redmond,21834,66.28%,28.70%,0.50%,0.31%,1.95%,2.26%
1676,Raines,21518,79.92%,14.69%,0.46%,0.71%,1.91%,2.30%
1770,Root,20284,93.58%,0.61%,1.11%,0.76%,1.60%,2.34%
1778,Rendón,20143,7.62%,0.33%,0.84%,0.32%,0.41%,90.48%
1787,Roper,20065,73.04%,20.59%,0.53%,0.76%,2.12%,2.96%
1808,Rudolph,19854,72.86%,21.41%,0.88%,0.42%,1.77%,2.65%
1827,Rushing,19604,76.57%,18.28%,0.36%,0.54%,1.96%,2.30%
1859,Rock,19313,83.62%,8.71%,0.70%,2.50%,2.00%,2.48%
1860,Roland,19311,70.95%,22.10%,0.62%,0.78%,2.25%,3.30%
1874,Reeder,19155,84.66%,10.36%,0.60%,1.08%,1.44%,1.87%
1895,Roche,18940,79.74%,4.35%,0.83%,0.26%,1.16%,13.66%
1943,Rizzo,18605,92.12%,0.37%,0.51%,0.21%,0.89%,5.91%
1949,Rhoades,18508,91.82%,2.34%,0.68%,0.87%,1.85%,2.44%
1950,Ricks,18506,46.55%,48.17%,0.37%,0.42%,2.51%,1.99%
1977,Richey,18296,86.70%,7.89%,0.43%,0.63%,1.90%,2.45%
1994,Rahman,18097,8.56%,6.21%,79.43%,0.44%,3.95%,1.41%
2127,Read,17048,91.08%,2.74%,0.59%,0.43%,1.33%,3.84%
2150,Ransom,16871,53.33%,37.98%,0.47%,2.28%,3.17%,2.76%
2156,Rooney,16823,93.71%,1.56%,0.66%,0.24%,1.30%,2.53%
2194,Rosenthal,16583,92.72%,2.29%,0.78%,0.24%,1.16%,2.82%
2207,Reagan,16491,92.05%,2.50%,0.68%,0.54%,1.67%,2.55%
2215,Rincón,16455,4.78%,0.22%,0.14%,0.19%,0.14%,94.53%
2226,Ring,16381,91.09%,3.05%,1.60%,0.51%,1.83%,1.93%
2227,Rider,16352,89.38%,3.82%,0.72%,1.90%,1.96%,2.22%
2231,Ruffin,16324,13.75%,80.40%,0.25%,0.15%,3.11%,2.35%
2233,Rader,16320,93.37%,1.09%,0.85%,0.72%,1.74%,2.23%
2237,Russ,16300,71.63%,22.90%,0.51%,0.53%,2.45%,1.98%
2277,Robledo,16001,4.01%,0.29%,0.59%,0.41%,0.23%,94.47%
2285,Rowell,15952,79.85%,14.99%,0.46%,0.76%,1.93%,2.01%
2317,Redding,15767,70.00%,24.51%,0.39%,0.56%,1.99%,2.55%
2319,Royal,15755,51.84%,40.83%,0.82%,0.56%,2.77%,3.18%
2338,Rowley,15588,89.59%,4.48%,0.67%,0.55%,1.81%,2.90%
2344,Reaves,15550,55.31%,39.47%,0.33%,0.33%,2.39%,2.17%
2369,Ruff,15383,72.66%,22.29%,0.57%,0.46%,1.90%,2.12%
2388,Roque,15203,8.65%,2.06%,11.22%,0.18%,1.23%,76.66%
2414,Ruth,15012,82.54%,11.83%,0.84%,0.49%,1.57%,2.73%
2443,Rea,14819,72.34%,0.92%,1.21%,0.59%,1.10%,23.83%
2451,Rudd,14732,79.83%,14.13%,0.54%,1.05%,2.04%,2.41%
2489,Roark,14509,94.12%,1.64%,0.30%,0.52%,1.71%,1.72%
2500,Reséndiz,14457,2.63%,0.08%,0.09%,0.12%,0.06%,97.02%
2508,Randle,14437,25.97%,68.79%,0.27%,0.30%,2.73%,1.95%
2509,Reardon,14435,94.42%,1.27%,0.50%,0.20%,1.39%,2.21%
2544,Ryder,14228,92.14%,2.85%,0.78%,0.52%,1.70%,2.02%
2562,Rapp,14107,94.19%,1.57%,0.69%,0.33%,1.28%,1.94%
2581,Rowan,13993,87.26%,7.03%,0.69%,0.86%,1.92%,2.24%
2594,Renner,13889,94.31%,1.06%,0.52%,0.47%,1.26%,2.38%
2661,Rector,13559,88.50%,6.20%,0.52%,0.78%,1.38%,2.62%
2671,Roldán,13498,6.91%,0.65%,6.95%,0.19%,0.92%,84.38%
2686,Robb,13402,89.46%,5.48%,0.70%,0.37%,1.68%,2.31%
2688,Rinehart,13392,93.88%,1.57%,0.38%,0.57%,1.50%,2.10%
2690,Rhoads,13389,93.40%,1.08%,0.59%,0.82%,1.69%,2.43%
2749,Redd,13119,50.51%,43.50%,0.48%,0.38%,3.09%,2.04%
