Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
1,Smith,2442977,70.90%,23.11%,0.50%,0.89%,2.19%,2.40%
36,Scott,439530,60.21%,32.92%,0.51%,1.18%,2.59%,2.58%
61,Stewart,324957,69.17%,24.86%,0.48%,0.77%,2.24%,2.49%
94,Sanders,230374,60.78%,32.97%,0.41%,0.84%,2.43%,2.57%
105,Sullivan,220990,87.73%,7.13%,0.60%,0.57%,1.59%,2.39%
135,Stevens,185674,81.44%,11.82%,0.64%,1.33%,2.04%,2.74%
158,Simpson,163181,70.78%,23.09%,0.53%,0.78%,2.30%,2.53%
164,Shaw,160400,72.07%,21.19%,1.48%,0.75%,2.15%,2.36%
165,Snyder,160262,94.07%,1.46%,0.59%,0.52%,1.45%,1.92%
178,Stone,153329,85.95%,8.13%,0.65%,0.95%,1.93%,2.39%
185,Schmidt,147034,95.15%,0.37%,0.61%,0.34%,1.19%,2.34%
190,Stephens,144646,73.90%,20.31%,0.46%,0.67%,2.12%,2.54%
199,Spencer,139951,69.41%,23.22%,0.76%,1.47%,2.48%,2.67%
297,Schultz,104888,94.81%,0.70%,0.59%,0.41%,1.28%,2.22%
312,Schneider,101290,95.35%,0.43%,0.59%,0.27%,1.20%,2.16%
321,Stanley,96867,78.79%,15.10%,0.74%,1.16%,1.95%,2.27%
341,Sutton,90964,72.77%,21.70%,0.48%,0.68%,2.24%,2.13%
344,Shelton,90517,73.49%,20.64%,0.47%,0.67%,2.50%,2.23%
345,Schwartz,90071,95.93%,0.44%,0.57%,0.21%,0.96%,1.89%
355,Steele,88230,78.25%,15.60%,0.53%,1.15%,2.02%,2.43%
397,Simon,80460,65.09%,22.51%,2.75%,0.67%,1.93%,7.06%
405,Sharp,78990,83.57%,10.56%,0.59%,1.02%,1.94%,2.33%
424,Swanson,76897,90.41%,4.80%,0.70%,0.46%,1.53%,2.10%
432,Stevenson,75169,63.44%,30.19%,0.63%,0.54%,2.50%,2.70%
469,Sherman,70502,82.74%,11.57%,0.63%,0.98%,1.75%,2.33%
476,Saunders,69943,67.39%,26.12%,0.57%,0.72%,2.57%,2.62%
489,Schroeder,67977,95.36%,0.32%,0.59%,0.49%,1.13%,2.11%
494,Strickland,67769,76.23%,17.16%,0.46%,2.15%,2.04%,1.97%
533,Sparks,63440,84.22%,10.43%,0.42%,0.74%,1.99%,2.21%
557,Shepherd,60479,78.64%,15.94%,0.54%,0.89%,1.95%,2.04%
560,Shaffer,59943,93.08%,2.54%,0.55%,0.40%,1.50%,1.92%
581,Short,57477,84.12%,10.24%,0.59%,0.86%,2.01%,2.18%
591,Summers,56953,78.93%,14.80%,0.54%,1.10%,2.29%,2.34%
627,Skinner,54046,79.34%,15.03%,0.48%,0.66%,1.96%,2.53%
651,Sweeney,52410,90.60%,4.76%,0.56%,0.39%,1.30%,2.38%
672,Shields,50832,75.83%,18.50%,0.64%,0.95%,1.90%,2.18%
690,Savage,49914,74.84%,19.57%,0.50%,0.80%,2.07%,2.22%
707,Sawyer,49028,80.83%,13.62%,0.71%,0.57%,1.99%,2.29%
733,Stephenson,47641,80.06%,13.96%,0.61%,0.69%,2.04%,2.65%
734,Snow,47528,85.00%,8.97%,0.61%,1.42%,2.05%,1.94%
747,Stafford,46394,79.14%,15.07%,0.48%,0.93%,2.16%,2.23%
752,Shannon,46147,75.16%,19.51%,0.54%,0.40%,2.03%,2.36%
760,Strong,45432,66.84%,25.83%,0.80%,1.45%,2.47%,2.60%
796,Stein,43389,94.40%,1.02%,0.70%,0.36%,1.16%,2.36%
798,Stout,43305,92.05%,2.29%,0.65%,0.89%,1.71%,2.42%
800,Sloan,43261,79.42%,13.85%,0.56%,1.84%,2.09%,2.25%
804,Sexton,43133,91.43%,3.64%,0.46%,0.74%,1.58%,2.14%
814,Sellers,42577,76.51%,17.84%,0.47%,1.04%,2.01%,2.13%
827,Stark,41735,92.48%,2.25%,0.58%,0.70%,1.53%,2.46%
830,Spears,41665,66.95%,26.34%,0.46%,1.56%,2.47%,2.23%
841,Schaefer,41063,95.05%,0.46%,0.68%,0.35%,1.31%,2.16%
