Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
588,Underwood,57064,79.20%,15.03%,0.48%,1.09%,2.03%,2.17%
1448,Uribe,24612,5.13%,0.17%,0.25%,0.26%,0.18%,94.01%
1790,Urban,20058,91.96%,0.37%,0.86%,0.31%,0.89%,5.61%
2180,Ulrich,16668,95.12%,0.43%,0.58%,0.35%,1.15%,2.38%
2409,Urbina,15055,4.92%,0.31%,0.68%,0.15%,0.22%,93.72%
2449,Unger,14738,94.18%,1.23%,0.69%,0.63%,1.25%,2.02%
2616,Upton,13769,87.96%,6.15%,0.67%,0.88%,1.98%,2.36%
2743,Ulloa,13133,4.14%,0.28%,0.72%,0.10%,0.26%,94.50%
3261,Ureña,11066,3.54%,0.54%,0.44%,0.17%,0.17%,95.13%
3587,Upchurch,9922,80.62%,14.29%,0.37%,0.58%,1.81%,2.32%
4348,Ulmer,8165,80.97%,14.89%,0.39%,0.47%,1.32%,1.96%
4471,Urias,7941,5.40%,0.20%,0.19%,0.20%,0.20%,93.80%
4524,Unruh,7835,96.25%,0.34%,0.31%,0.47%,1.15%,1.48%
4742,Usher,7477,66.52%,27.55%,0.39%,0.56%,1.93%,3.05%
4778,Upshaw,7401,33.18%,55.61%,0.31%,5.34%,2.82%,2.73%
4788,Utley,7385,77.70%,16.47%,0.39%,0.39%,1.96%,3.09%
4888,Urrutia,7208,9.30%,1.00%,0.93%,0.39%,0.35%,88.04%
5119,Underhill,6839,92.51%,2.57%,0.42%,0.60%,1.59%,2.30%
5415,Umana,6426,4.64%,2.49%,0.39%,(S),(S),92.23%
6079,Uddin,5639,3.76%,1.65%,89.41%,0.59%,3.01%,1.58%
6476,Uhl,5244,95.06%,0.15%,1.14%,0.42%,1.07%,2.15%
6708,Ussery,5036,74.56%,19.38%,0.56%,0.48%,2.07%,2.96%
7369,Ung,4519,3.28%,(S),91.79%,(S),2.52%,1.70%
7578,Urquhart,4385,71.90%,22.03%,0.62%,0.32%,3.06%,2.08%
7612,Urbano,4368,22.48%,1.08%,12.23%,0.16%,0.98%,63.07%
7668,Utter,4331,94.27%,0.35%,0.72%,0.69%,1.59%,2.38%
8673,Ugalde,3789,8.34%,(S),4.75%,(S),0.53%,85.93%
9003,Uy,3633,2.84%,(S),91.33%,(S),3.17%,2.28%
9085,Uriarte,3597,8.45%,0.14%,3.25%,1.33%,1.08%,85.74%
9093,Ullrich,3592,93.85%,0.61%,0.25%,0.92%,0.95%,3.42%
9479,Umanzor,3432,2.19%,0.26%,(S),(S),(S),97.41%
9881,Ugarte,3272,7.55%,(S),0.98%,(S),0.24%,90.92%
9890,Urbanski,3270,95.02%,(S),0.61%,(S),1.16%,2.97%
10026,Ullman,3213,95.39%,0.40%,0.78%,0.25%,1.28%,1.90%
10155,Uriostegui,3177,2.23%,0.35%,(S),0.00%,(S),97.32%
10310,Utterback,3125,93.60%,1.73%,0.80%,0.22%,1.12%,2.53%
10536,Utz,3044,95.01%,0.56%,0.59%,0.16%,1.74%,1.94%
10628,Ulibarri,3013,23.80%,0.43%,0.43%,0.96%,0.56%,73.81%
10829,Updike,2941,94.97%,0.61%,0.48%,0.58%,1.60%,1.77%
11648,Urso,2691,95.06%,0.63%,0.97%,0.19%,0.85%,2.30%
13007,Urrea,2360,7.88%,(S),0.59%,(S),0.21%,91.10%
13569,Umberger,2235,97.54%,0.22%,0.54%,0.31%,0.76%,0.63%
13815,Urquiza,2188,3.38%,(S),0.23%,(S),(S),95.93%
14076,Utt,2137,96.16%,0.61%,0.23%,0.75%,1.26%,0.98%
14197,Uresti,2115,8.42%,0.00%,0.38%,(S),(S),90.97%
14976,Ullah,1974,5.83%,4.46%,80.65%,0.41%,5.62%,3.04%
15127,Umstead,1949,81.68%,14.21%,(S),(S),1.49%,2.00%
15771,Usry,1848,85.23%,10.77%,0.49%,0.54%,1.41%,1.57%
16060,Upham,1804,92.35%,0.39%,0.89%,2.83%,1.88%,1.66%
16203,Upson,1782,71.27%,23.40%,0.62%,0.28%,1.68%,2.75%
16284,Uecker,1771,96.61%,0.28%,0.51%,0.28%,0.79%,1.52%
16385,Urzúa,1757,4.15%,0.00%,(S),0.28%,(S),95.39%
16407,Urbánek,1754,96.81%,(S),0.29%,(S),1.14%,1.48%
16839,Ulery,1695,95.16%,0.29%,0.53%,0.53%,1.47%,2.01%
17111,Ulm,1658,93.06%,(S),2.83%,(S),1.33%,1.87%
17216,Udell,1645,85.35%,9.85%,(S),(S),1.40%,2.61%
17331,Uhler,1631,95.10%,(S),0.61%,(S),1.47%,2.33%
17526,Um,1607,1.80%,0.50%,95.08%,0.00%,1.74%,0.87%
17530,Ungar,1606,96.33%,(S),0.50%,(S),0.62%,2.30%
17551,Ullom,1603,95.13%,0.56%,0.75%,0.37%,1.81%,1.37%
18128,Urich,1536,93.88%,0.72%,0.46%,0.72%,1.37%,2.86%
18928,Ulysse,1442,1.32%,93.20%,(S),(S),2.50%,2.29%
19166,Updegraff,1417,97.25%,(S),(S),(S),0.49%,1.48%
19306,Urbaniak,1402,96.86%,(S),(S),(S),0.86%,1.71%
19907,Ulman,1349,96.74%,(S),0.74%,(S),0.59%,1.41%
19997,Uhrig,1339,93.28%,(S),0.67%,(S),0.90%,4.56%
20116,Uhrich,1328,95.41%,(S),0.45%,(S),1.36%,2.41%
20139,Uyeda,1326,8.37%,(S),74.89%,(S),11.99%,4.52%
20364,Uppal,1305,4.75%,(S),91.03%,(S),2.38%,1.07%
20408,Uselton,1302,95.47%,(S),(S),1.00%,1.23%,1.77%
20421,Uber,1301,95.85%,(S),0.77%,(S),0.77%,1.92%
20780,Upadhyay,1271,2.36%,(S),93.71%,0.55%,2.83%,(S)
20843,Uranga,1266,14.30%,0.39%,(S),0.55%,(S),84.36%
20910,Umali,1260,3.73%,(S),90.71%,(S),3.89%,1.35%
21019,Ullery,1251,96.32%,(S),1.04%,(S),0.48%,1.92%
21413,Uhlig,1221,94.84%,(S),0.74%,(S),1.72%,2.38%
21633,Urick,1205,96.51%,0.50%,0.58%,0.00%,0.66%,1.74%
21940,Ulrey,1183,92.48%,0.42%,1.01%,0.93%,2.37%,2.79%
22081,Usrey,1173,93.44%,(S),(S),0.85%,2.30%,2.39%
22301,Uchida,1156,10.29%,(S),78.81%,(S),7.96%,2.77%
22346,Ureño,1153,3.64%,(S),0.43%,0.00%,(S),95.84%
22856,Umphrey,1120,89.20%,7.05%,(S),(S),1.88%,1.34%
22906,Urquidez,1117,8.95%,(S),(S),1.70%,0.81%,88.18%
23283,Uzzell,1094,57.77%,37.39%,(S),(S),1.83%,2.47%
23315,Urie,1092,92.12%,2.75%,(S),(S),0.82%,3.57%
23532,Ulbrich,1079,95.55%,(S),0.74%,(S),1.30%,2.22%
24186,Uphoff,1039,96.15%,(S),0.58%,(S),0.48%,2.50%
24222,Unzueta,1036,6.56%,0.48%,(S),0.87%,(S),91.89%
24260,Urgiles,1034,3.00%,(S),(S),0.00%,0.00%,96.81%
24260,Ullmann,1034,95.16%,(S),0.68%,(S),1.35%,2.42%
24431,Unrein,1025,95.90%,(S),(S),0.98%,0.78%,1.95%
24446,Usman,1024,6.74%,19.24%,65.63%,0.00%,5.18%,3.22%
24466,Urioste,1023,15.54%,(S),(S),(S),(S),83.48%
24483,Utecht,1022,97.06%,(S),(S),0.59%,0.98%,0.98%
24855,Ure,1001,92.01%,(S),0.80%,(S),1.10%,5.39%
