Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
113,Vasquez,212781,5.06%,0.51%,0.73%,0.29%,0.24%,93.17%
148,Vargas,173835,5.41%,0.42%,0.85%,0.18%,0.22%,92.92%
203,Vázquez,138322,3.53%,0.35%,0.18%,0.06%,0.12%,95.75%
244,Valdez,124995,6.29%,0.48%,3.35%,0.65%,0.56%,88.66%
261,Vega,116673,5.53%,0.56%,0.73%,0.22%,0.29%,92.68%
356,Vaughn,88060,71.52%,22.67%,0.44%,0.75%,2.34%,2.27%
398,Velásquez,80364,4.75%,0.66%,1.71%,0.43%,0.24%,92.22%
475,Valencia,70000,5.32%,0.50%,3.28%,1.21%,0.46%,89.23%
530,Velázquez,63736,3.26%,0.44%,0.12%,0.12%,0.11%,95.95%
539,Villanueva,61883,4.25%,0.43%,12.29%,0.26%,1.01%,81.77%
547,Villarreal,61355,6.45%,0.23%,0.19%,0.15%,0.13%,92.85%
584,Valenzuela,57383,4.95%,0.21%,2.40%,1.67%,0.40%,90.36%
638,Vélez,53265,6.80%,0.92%,0.88%,0.07%,0.30%,91.03%
641,Vincent,53095,78.93%,13.95%,1.40%,0.63%,1.97%,3.12%
644,Villa,52817,8.08%,0.39%,2.06%,0.31%,0.42%,88.74%
716,Villegas,48599,3.97%,0.29%,3.24%,0.24%,0.39%,91.88%
726,Vang,48036,1.37%,(S),96.70%,(S),1.41%,0.42%
737,Vance,47324,81.62%,12.88%,0.55%,0.65%,1.86%,2.44%
856,Valentine,40395,66.06%,23.29%,0.66%,0.50%,2.14%,7.35%
877,Ventura,39580,18.80%,0.77%,4.64%,0.29%,1.04%,74.47%
893,Vaughan,38830,82.04%,12.93%,0.50%,0.45%,1.73%,2.35%
919,Villalobos,37754,3.90%,0.23%,0.65%,0.23%,0.16%,94.84%
960,Vo,36236,1.40%,0.16%,96.07%,0.04%,1.72%,0.61%
962,Vu,36179,1.04%,(S),96.61%,(S),1.68%,0.58%
1031,Vera,33674,7.12%,0.59%,0.90%,0.15%,0.22%,91.02%
1061,Velasco,33078,5.94%,0.26%,10.51%,0.32%,0.70%,82.27%
1104,Valle,31716,10.69%,0.73%,1.47%,0.25%,0.50%,86.37%
1153,Vogel,30470,94.99%,0.49%,0.64%,0.28%,1.11%,2.49%
1205,Vigil,29382,13.86%,0.37%,0.34%,2.74%,0.59%,82.09%
1321,Varela,26621,7.38%,1.03%,0.51%,0.42%,0.25%,90.42%
1396,Vela,25414,7.62%,0.28%,0.57%,0.19%,0.25%,91.09%
1401,Vinson,25341,65.57%,28.93%,0.46%,0.56%,2.35%,2.12%
1625,Vickers,22176,79.07%,15.89%,0.42%,0.52%,2.11%,1.98%
1645,Valadez,21859,4.75%,0.18%,0.18%,0.25%,0.17%,94.46%
1719,Voss,20911,93.68%,2.24%,0.56%,0.37%,1.24%,1.91%
1722,Venegas,20851,3.73%,0.20%,0.76%,0.19%,0.17%,94.95%
1745,Valdés,20527,8.74%,0.57%,0.85%,0.08%,0.17%,89.59%
1868,Valentin,19211,8.93%,3.15%,1.54%,0.07%,0.52%,85.78%
1881,Vallejo,19117,6.10%,0.34%,1.71%,0.18%,0.46%,91.21%
1933,Vidal,18677,13.40%,2.84%,4.20%,0.14%,0.76%,78.65%
1997,Varner,18081,81.12%,14.20%,0.57%,0.64%,1.80%,1.67%
2002,Vogt,18061,94.18%,0.93%,0.77%,0.23%,1.23%,2.66%
2070,Vernon,17480,76.44%,16.87%,0.73%,0.51%,2.00%,3.46%
2131,VanDyke,17030,90.46%,4.89%,0.48%,0.39%,1.63%,2.15%
2293,Valdivia,15895,4.90%,0.18%,0.42%,0.15%,0.22%,94.13%
2332,Vergara,15618,5.83%,0.30%,13.36%,0.04%,0.99%,79.47%
2366,Vann,15416,52.87%,31.53%,5.75%,3.65%,3.39%,2.81%
2511,Vick,14421,81.96%,13.26%,0.42%,0.45%,1.53%,2.38%
2548,Villaseñor,14180,3.41%,0.14%,1.88%,0.16%,0.18%,94.22%
2554,VanHorn,14151,91.25%,3.19%,0.50%,0.51%,1.67%,2.88%
2614,Valles,13777,8.86%,1.65%,0.94%,0.51%,0.36%,87.68%
2675,Valerio,13482,21.47%,1.09%,5.34%,0.26%,0.64%,71.20%
2725,Vitale,13220,94.39%,0.39%,0.73%,0.08%,0.98%,3.42%
3012,Valladares,11901,4.30%,0.53%,0.56%,0.09%,0.10%,94.41%
3024,Viera,11861,19.48%,1.87%,0.46%,0.19%,0.71%,77.30%
3061,Vue,11717,0.45%,(S),97.83%,(S),1.05%,0.57%
3164,Vest,11405,91.29%,3.72%,0.31%,1.03%,1.53%,2.13%
3201,Villagómez,11282,3.05%,0.23%,2.18%,0.06%,0.46%,94.02%
3214,Victor,11234,46.96%,30.97%,4.84%,3.12%,2.58%,11.52%
3320,Van,10798,22.18%,6.30%,67.23%,0.39%,2.10%,1.81%
3326,Vicente,10789,11.07%,2.54%,9.55%,2.11%,1.10%,73.63%
3385,Vail,10554,86.42%,4.94%,1.02%,0.44%,1.96%,5.22%
3394,Villatoro,10535,2.52%,0.55%,0.25%,0.07%,0.09%,96.52%
3425,Vieira,10420,83.38%,6.03%,1.25%,0.46%,2.41%,6.48%
3458,Venable,10333,74.02%,20.98%,0.28%,0.54%,1.79%,2.39%
3517,Valdovinos,10147,2.34%,0.13%,0.06%,0.05%,0.06%,97.37%
3547,Vines,10061,63.07%,30.33%,0.62%,0.73%,2.11%,3.16%
3693,Villarreal,9614,6.80%,0.34%,7.71%,0.30%,0.88%,83.96%
3738,Vaught,9476,87.90%,7.30%,0.54%,0.77%,1.92%,1.57%
3766,Vuong,9407,0.91%,(S),96.63%,(S),1.64%,0.75%
3888,Volk,9126,95.21%,0.55%,0.66%,0.36%,1.22%,2.01%
4005,Vickery,8874,94.71%,0.46%,0.56%,0.61%,1.59%,2.06%
4065,Valverde,8737,9.25%,0.47%,0.64%,0.24%,0.21%,89.20%
4142,Vetter,8550,95.49%,0.55%,0.49%,0.53%,0.84%,2.11%
4169,Varney,8502,94.82%,0.92%,0.82%,0.24%,1.47%,1.73%
4281,VanMeter,8305,94.10%,0.96%,0.88%,0.37%,1.82%,1.87%
4341,Valenti,8174,91.63%,0.40%,0.51%,0.29%,1.13%,6.03%
4371,Velarde,8135,12.96%,0.23%,4.61%,2.02%,0.68%,79.51%
4444,Vaca,7982,6.20%,0.15%,0.51%,0.06%,0.13%,92.95%
4517,Volpe,7847,94.74%,0.15%,0.50%,0.17%,1.11%,3.34%
4519,Veal,7842,44.64%,49.74%,0.59%,0.40%,2.49%,2.14%
4534,Villalpando,7821,4.51%,0.31%,0.23%,0.33%,0.19%,94.43%
4541,VanWinkle,7811,92.08%,0.56%,0.78%,2.23%,1.81%,2.55%
4553,Vargo,7787,94.20%,1.09%,0.74%,0.26%,1.32%,2.39%
4683,Valente,7580,76.39%,0.46%,1.66%,0.15%,1.21%,20.13%
4756,Vanegas,7444,4.67%,0.39%,0.27%,0.44%,0.13%,94.09%
4862,Voigt,7251,93.27%,1.20%,0.73%,0.44%,1.42%,2.94%
4885,Verdugo,7210,6.89%,0.24%,0.36%,1.48%,0.40%,90.62%
4944,Vandenberg,7121,94.61%,0.27%,0.63%,0.41%,1.43%,2.65%
5004,Veliz,7024,6.48%,0.30%,0.56%,0.19%,0.17%,92.31%
5010,Varghese,7013,1.95%,0.26%,95.38%,0.46%,1.48%,0.47%
5023,Victoria,6989,17.86%,7.15%,10.06%,0.10%,1.46%,63.37%
5066,Verduzco,6923,4.02%,(S),0.14%,0.20%,(S),95.49%
5169,Vaccaro,6766,93.79%,0.62%,0.64%,0.07%,0.92%,3.96%
5219,Vanover,6689,92.82%,3.03%,0.36%,0.43%,1.49%,1.85%
5222,VanPelt,6685,89.23%,4.64%,0.60%,2.06%,1.27%,2.20%
5271,Viola,6616,87.76%,1.04%,3.61%,0.20%,0.82%,6.57%
5273,Vollmer,6614,95.37%,0.20%,0.64%,0.26%,1.25%,2.28%
5376,Valentino,6474,85.63%,1.98%,2.13%,0.65%,1.30%,8.31%
5551,Vandiver,6263,86.24%,7.63%,0.21%,2.32%,1.68%,1.93%
5557,Vanderpool,6257,87.69%,3.95%,0.40%,1.73%,2.06%,4.17%
5608,Varga,6201,90.45%,0.15%,0.84%,0.13%,0.89%,7.55%
5781,VanSickle,5994,95.55%,0.32%,0.42%,0.70%,1.18%,1.84%
5874,VanBuren,5874,76.95%,18.90%,0.39%,0.20%,1.91%,1.65%
6012,Voorhees,5720,93.50%,1.84%,0.51%,0.68%,1.54%,1.94%
6108,Vestal,5614,91.15%,2.69%,1.16%,0.78%,1.69%,2.53%
6165,Voyles,5551,95.06%,0.32%,0.40%,0.95%,1.17%,2.09%
6172,Viramontes,5544,4.74%,0.27%,0.13%,0.14%,0.18%,94.53%
6186,Villar,5530,13.71%,0.69%,12.26%,0.11%,0.67%,72.57%
6200,Verdin,5515,22.28%,1.69%,0.34%,15.43%,2.61%,57.64%
6201,Villeda,5514,2.50%,0.27%,0.36%,(S),(S),96.68%
6211,Verma,5506,3.52%,0.40%,92.19%,0.36%,2.72%,0.80%
6271,Vermillion,5449,92.55%,0.39%,0.46%,1.43%,2.22%,2.95%
6318,Vice,5403,89.52%,5.72%,0.52%,0.57%,1.67%,2.00%
6468,Vining,5253,87.34%,7.61%,0.70%,0.55%,2.11%,1.68%
6490,Visser,5231,94.82%,0.32%,0.71%,0.48%,1.13%,2.54%
6546,Veloz,5173,4.83%,0.33%,0.21%,(S),(S),94.47%
6663,VanBuskirk,5073,93.75%,0.37%,0.41%,0.93%,1.71%,2.82%
6739,Vital,5004,14.99%,26.62%,3.22%,0.18%,1.52%,53.48%
6766,Viveros,4983,5.02%,0.24%,0.14%,0.18%,0.12%,94.30%
6775,Volz,4978,94.48%,0.28%,0.70%,0.32%,1.37%,2.85%
6819,Vizcarra,4946,4.00%,(S),4.77%,(S),0.53%,90.50%
6852,Villalba,4913,4.68%,0.14%,0.94%,0.22%,0.22%,93.79%
6872,Veach,4896,94.67%,0.45%,0.82%,0.55%,1.33%,2.19%
7069,Voelker,4735,95.29%,(S),1.12%,(S),1.14%,2.01%
7112,Villalta,4704,3.98%,0.28%,0.36%,(S),(S),95.24%
7177,Valero,4660,11.09%,0.47%,4.38%,0.39%,0.41%,83.26%
7293,Via,4570,83.26%,6.13%,1.03%,0.57%,1.60%,7.42%
7402,Valley,4497,81.01%,8.83%,1.18%,1.80%,1.96%,5.23%
7496,Vong,4443,4.28%,(S),92.62%,(S),1.62%,1.22%
7582,VanHouten,4383,95.64%,0.57%,0.68%,0.30%,1.21%,1.60%
7736,Vanness,4291,90.26%,4.36%,0.49%,0.28%,2.00%,2.61%
8082,Villavicencio,4102,7.02%,0.27%,5.80%,0.17%,0.41%,86.32%
8189,Vella,4051,86.87%,0.59%,1.63%,0.22%,0.94%,9.75%
8304,Vannoy,3991,88.30%,5.54%,0.50%,0.80%,2.28%,2.58%
8383,Vierra,3949,63.21%,0.76%,6.63%,0.53%,10.56%,18.31%
8392,Valera,3944,9.99%,1.29%,19.52%,(S),(S),67.93%
8467,Vineyard,3901,89.41%,4.67%,0.59%,0.87%,2.13%,2.33%
8470,Virgen,3898,2.57%,0.44%,0.13%,0.15%,0.21%,96.51%
8562,VanCleave,3847,90.75%,3.28%,0.57%,0.29%,2.00%,3.12%
8694,Veras,3776,7.60%,1.19%,0.66%,0.16%,0.24%,90.15%
