Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
3,Williams,1625252,45.75%,47.68%,0.46%,0.82%,2.81%,2.49%
14,Wilson,801882,67.36%,25.99%,0.60%,1.06%,2.38%,2.61%
24,White,660491,65.51%,28.17%,0.49%,1.07%,2.38%,2.38%
31,Walker,523129,58.66%,35.05%,0.45%,0.87%,2.55%,2.41%
35,Wright,458980,65.80%,28.23%,0.51%,0.69%,2.41%,2.36%
79,Ward,260464,75.58%,18.50%,0.49%,0.91%,2.08%,2.44%
81,Watson,252579,66.03%,27.90%,0.53%,0.82%,2.30%,2.41%
84,Wood,250715,88.72%,5.57%,0.66%,0.84%,1.79%,2.42%
123,Wallace,197276,69.24%,24.70%,0.51%,0.77%,2.31%,2.47%
125,West,195818,75.48%,18.48%,0.49%,0.83%,2.27%,2.45%
144,Woods,177425,58.30%,35.30%,0.42%,0.88%,2.74%,2.35%
145,Washington,177386,5.17%,87.53%,0.30%,0.68%,3.78%,2.54%
147,Wells,176230,74.00%,20.00%,0.49%,0.87%,2.22%,2.41%
152,Webb,168878,75.53%,19.08%,0.46%,0.66%,1.99%,2.29%
173,Wagner,155795,92.47%,2.60%,0.58%,0.54%,1.40%,2.41%
181,Warren,152147,70.08%,23.94%,0.55%,0.84%,2.26%,2.33%
192,Weaver,143837,84.41%,9.99%,0.52%,1.09%,1.87%,2.12%
230,Willis,130152,62.22%,31.07%,0.51%,1.33%,2.55%,2.31%
240,Watkins,127083,62.03%,32.27%,0.42%,0.64%,2.56%,2.09%
243,Wheeler,125058,80.96%,13.29%,0.50%,0.93%,1.97%,2.35%
267,Williamson,114959,77.17%,17.41%,0.50%,0.70%,1.94%,2.27%
274,Wong,111371,3.48%,0.79%,86.49%,0.04%,5.20%,4.00%
282,Wang,109883,2.59%,0.29%,95.24%,0.02%,1.50%,0.35%
283,Weber,109433,94.29%,1.29%,0.63%,0.36%,1.25%,2.18%
284,Welch,108987,83.47%,10.44%,0.54%,1.11%,1.90%,2.55%
295,Walsh,105079,94.48%,1.11%,0.65%,0.23%,1.35%,2.20%
319,Wade,97040,64.94%,29.08%,0.47%,0.74%,2.44%,2.34%
348,Watts,89649,68.62%,25.52%,0.48%,0.77%,2.35%,2.26%
350,Walters,89376,82.92%,11.29%,0.65%,0.82%,1.69%,2.63%
374,Wolfe,83928,90.77%,3.60%,0.52%,1.37%,1.66%,2.09%
375,Warner,83781,84.22%,10.24%,0.65%,0.61%,1.87%,2.41%
446,Walton,73854,60.37%,34.20%,0.40%,0.51%,2.39%,2.13%
453,Webster,72625,73.50%,19.75%,0.62%,1.38%,2.25%,2.51%
461,Wu,71721,1.37%,0.18%,96.37%,0.02%,1.59%,0.48%
474,Wolf,70031,93.67%,1.07%,0.61%,1.05%,1.46%,2.16%
485,Wise,68649,78.63%,15.55%,0.58%,0.71%,2.14%,2.38%
491,Waters,67929,73.39%,20.68%,0.56%,0.85%,2.13%,2.39%
570,Wilkins,58634,63.09%,30.56%,0.43%,0.89%,2.36%,2.66%
587,Weiss,57112,95.58%,0.38%,0.65%,0.20%,0.95%,2.24%
596,Whitaker,56616,70.71%,24.33%,0.46%,0.45%,2.02%,2.03%
602,Wilcox,56286,83.89%,10.42%,0.56%,0.78%,1.87%,2.48%
631,Wall,53794,86.10%,8.21%,0.75%,0.81%,1.81%,2.31%
634,Wilkinson,53739,88.16%,6.52%,0.63%,0.61%,1.74%,2.36%
653,Wyatt,52211,75.71%,18.63%,0.42%,0.67%,2.07%,2.49%
685,Wiggins,50247,54.67%,39.64%,0.33%,0.65%,2.37%,2.33%
700,Ware,49316,48.69%,44.88%,0.47%,0.82%,2.75%,2.39%
713,Wiley,48720,65.71%,28.68%,0.46%,0.64%,2.28%,2.23%
719,Wilkerson,48444,64.68%,29.39%,0.45%,0.61%,2.59%,2.27%
727,Walter,48024,88.57%,6.20%,0.94%,0.54%,1.42%,2.34%
750,Woodard,46240,59.90%,34.60%,0.48%,0.59%,2.21%,2.22%
766,Winters,44914,79.11%,15.08%,0.52%,0.84%,2.05%,2.41%
776,Whitehead,44373,70.49%,24.03%,0.40%,0.73%,2.23%,2.11%
831,Weeks,41565,84.38%,9.97%,0.55%,0.84%,1.81%,2.45%
