Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
32,Young,484447,66.26%,24.67%,3.03%,0.79%,2.66%,2.58%
290,Yang,106033,1.03%,0.20%,96.81%,0.02%,1.50%,0.45%
535,Yates,63254,80.58%,14.07%,0.49%,0.54%,2.07%,2.25%
598,Yoder,56410,97.77%,0.19%,0.23%,0.15%,0.73%,0.93%
642,York,53059,85.81%,8.04%,0.90%,1.00%,1.97%,2.28%
658,Yu,52035,1.46%,0.12%,96.10%,0.02%,1.61%,0.69%
1385,Yañez,25563,4.76%,0.18%,0.46%,0.38%,0.20%,94.01%
1441,Yarbrough,24749,70.61%,23.73%,0.36%,0.75%,2.32%,2.23%
1582,Yeager,22634,93.95%,1.70%,0.54%,0.61%,1.34%,1.86%
1619,Ybarra,22211,10.33%,0.30%,0.40%,0.60%,0.31%,88.06%
1740,Yee,20591,5.58%,0.58%,83.54%,0.05%,6.99%,3.26%
1869,Yost,19210,95.00%,0.69%,0.59%,0.32%,1.32%,2.09%
1982,Youngblood,18197,69.80%,23.10%,0.34%,1.69%,2.99%,2.08%
2011,Yi,17934,1.41%,0.18%,94.45%,0.03%,2.13%,1.80%
2287,Yoon,15936,2.06%,(S),95.89%,(S),1.31%,0.54%
2424,Yazzie,14949,1.58%,0.07%,0.09%,94.56%,1.74%,1.95%
2656,Yancey,13566,63.94%,30.72%,0.32%,0.46%,2.46%,2.09%
2724,Yoo,13225,2.66%,(S),95.49%,(S),1.06%,0.59%
3182,Yan,11354,2.97%,(S),94.06%,(S),1.07%,1.33%
3357,Younger,10658,64.46%,28.15%,0.80%,0.60%,2.96%,3.04%
3609,Ye,9839,1.33%,(S),97.02%,(S),0.84%,0.49%
3981,Yun,8933,3.01%,(S),93.45%,(S),2.37%,0.86%
4129,Yuan,8588,1.62%,(S),96.43%,(S),1.28%,0.42%
4538,Yount,7817,95.29%,0.68%,0.33%,0.50%,1.37%,1.83%
4556,Yeung,7782,1.76%,(S),95.68%,(S),1.71%,0.57%
4614,Yuen,7688,4.11%,(S),87.12%,(S),5.53%,3.00%
4702,Yamamoto,7547,5.68%,(S),79.82%,(S),10.52%,3.88%
4766,Yager,7427,94.39%,0.98%,0.55%,0.32%,1.71%,2.05%
4898,Yao,7192,2.13%,2.45%,92.91%,(S),1.99%,(S)
5046,Yeh,6958,2.47%,(S),92.80%,(S),3.42%,1.11%
5119,Yarborough,6839,66.08%,29.40%,0.37%,0.57%,1.83%,1.75%
5324,Yin,6548,1.70%,(S),93.97%,(S),2.26%,1.80%
5353,Yocum,6504,92.13%,2.77%,0.74%,0.54%,1.37%,2.46%
5411,Yepez,6433,3.67%,0.19%,0.37%,0.14%,0.12%,95.51%
5602,Yip,6208,2.27%,(S),93.25%,(S),2.46%,1.69%
5650,Yim,6144,2.78%,(S),90.53%,(S),5.03%,1.32%
6486,You,5234,2.24%,0.50%,94.54%,0.13%,1.70%,0.90%
6590,Yanes,5140,9.96%,0.91%,0.86%,0.29%,0.45%,87.53%
6647,Youmans,5092,73.78%,22.09%,0.49%,0.35%,1.24%,2.04%
6671,Yen,5066,3.95%,0.47%,89.12%,0.00%,4.72%,1.74%
6776,Youngs,4977,91.00%,3.28%,0.94%,0.26%,1.91%,2.61%
7261,Yap,4590,4.62%,0.81%,82.66%,0.13%,8.76%,3.03%
7332,Yingling,4550,95.85%,0.81%,0.62%,0.46%,0.81%,1.45%
7461,Yamada,4467,7.21%,(S),78.80%,(S),11.24%,2.57%
7580,Yancy,4384,38.96%,53.74%,0.57%,0.64%,2.92%,3.17%
7849,Yung,4218,19.13%,(S),75.13%,(S),3.01%,1.54%
8010,Yousif,4130,85.52%,5.23%,0.56%,0.15%,7.07%,1.48%
8046,Yoshida,4113,7.63%,0.22%,78.09%,0.24%,10.99%,2.82%
8280,Yusuf,4003,7.07%,72.45%,14.89%,0.40%,3.82%,1.37%
8854,Youssef,3700,89.38%,1.62%,(S),(S),4.84%,3.27%
9212,Yaeger,3537,95.73%,0.28%,0.68%,0.14%,1.02%,2.15%
9643,Yarnell,3365,92.51%,2.32%,0.68%,0.39%,1.87%,2.23%
9784,Yowell,3311,81.46%,13.47%,0.66%,0.66%,1.30%,2.45%
10258,Yarber,3142,68.87%,25.11%,0.41%,0.32%,3.31%,1.97%
10316,Yong,3123,6.44%,(S),77.46%,(S),3.97%,8.97%
10429,Yearwood,3085,50.15%,38.80%,0.49%,0.42%,2.82%,7.33%
10565,Yau,3033,2.31%,(S),92.55%,(S),2.24%,2.57%
10689,Yeomans,2990,93.28%,1.14%,0.77%,0.33%,1.67%,2.81%
10748,Yon,2969,57.09%,13.41%,18.09%,0.40%,2.49%,8.52%
10931,Yamaguchi,2912,5.87%,(S),78.98%,(S),9.75%,5.25%
10959,Yetter,2903,95.14%,(S),0.52%,(S),1.38%,2.34%
11223,Yeary,2818,91.48%,3.23%,0.85%,0.53%,2.20%,1.70%
11272,Yeo,2805,38.11%,(S),55.97%,(S),1.82%,3.17%
11275,Youngman,2802,87.87%,0.82%,1.07%,6.64%,1.64%,1.96%
11430,Yoho,2756,95.25%,0.33%,0.29%,0.87%,2.21%,1.05%
11783,Yelton,2659,93.42%,1.09%,0.53%,1.05%,2.14%,1.77%
12399,Yawn,2507,90.79%,4.87%,0.72%,0.52%,1.08%,2.03%
12500,Yamashita,2480,6.21%,(S),78.83%,(S),11.45%,3.27%
12565,Yandell,2464,86.69%,0.85%,0.93%,4.59%,3.81%,3.13%
12581,Yuhas,2461,94.60%,(S),0.57%,(S),1.22%,3.01%
12830,Yale,2402,92.01%,(S),1.42%,(S),1.62%,3.96%
12856,Yoakum,2395,87.35%,5.64%,0.92%,0.29%,2.38%,3.42%
12900,Yohe,2383,95.22%,0.50%,0.59%,0.63%,1.09%,1.97%
13065,Yardley,2350,91.83%,1.19%,0.81%,1.91%,1.49%,2.77%
13091,Yow,2343,81.48%,7.21%,5.93%,1.20%,1.84%,2.35%
13186,Yelverton,2318,64.37%,31.23%,(S),(S),2.33%,1.51%
13246,Yousef,2305,80.00%,4.08%,5.34%,(S),6.59%,(S)
13259,Yeoman,2302,88.14%,5.73%,0.65%,0.65%,1.95%,2.87%
13494,Yue,2251,2.89%,(S),93.65%,(S),3.07%,0.22%
13674,Younce,2214,94.44%,1.04%,0.77%,0.50%,1.49%,1.76%
14084,Youngberg,2135,95.69%,(S),1.08%,(S),1.17%,1.78%
14296,Yamasaki,2094,7.50%,(S),77.60%,(S),8.50%,6.21%
14468,Yonker,2064,93.80%,1.79%,0.78%,0.29%,1.60%,1.74%
14755,Younker,2013,93.59%,2.29%,0.60%,0.65%,1.84%,1.04%
15002,Yasin,1969,41.19%,22.75%,23.97%,(S),7.11%,(S)
15043,Ying,1964,3.05%,1.63%,89.92%,0.00%,3.56%,1.83%
15063,Yohn,1959,94.59%,1.07%,0.77%,0.51%,1.12%,1.94%
15201,Yarger,1938,94.17%,1.39%,0.26%,1.19%,1.60%,1.39%
15262,Yockey,1925,96.83%,(S),0.52%,(S),1.40%,0.94%
15483,Yunker,1891,96.56%,(S),0.85%,(S),1.11%,0.90%
15560,Yerkes,1880,95.74%,(S),0.69%,(S),1.17%,1.70%
15651,Yeates,1866,88.75%,6.11%,(S),(S),1.29%,3.00%
15727,Youn,1854,5.45%,2.16%,89.97%,(S),1.46%,(S)
15734,Yadav,1853,3.18%,(S),94.01%,0.43%,1.94%,(S)
16041,Yam,1808,5.25%,(S),81.75%,(S),2.54%,9.57%
16370,Yutzy,1759,97.67%,(S),(S),(S),1.08%,0.91%
16734,Ybáñez,1709,9.07%,0.35%,24.34%,0.64%,0.82%,64.77%
17056,Younan,1665,89.85%,1.26%,(S),(S),5.35%,2.88%
17142,Yeboah,1653,1.09%,96.49%,(S),(S),1.75%,0.42%
17142,Yocom,1653,94.07%,(S),0.91%,(S),1.63%,2.90%
17159,Yard,1651,74.20%,16.23%,(S),(S),1.27%,7.09%
17249,Yeater,1642,94.52%,0.97%,0.67%,0.55%,2.01%,1.28%
17268,Younkin,1640,96.95%,0.43%,0.43%,0.37%,0.43%,1.40%
17300,Yerger,1636,90.46%,5.38%,0.67%,0.61%,1.28%,1.59%
17345,Yzaguirre,1629,14.30%,0.55%,(S),0.49%,(S),84.10%
17745,Yorke,1579,74.86%,21.28%,(S),(S),1.20%,1.71%
18090,Yacoub,1540,88.44%,2.34%,1.30%,0.00%,5.06%,2.86%
18116,Youngquist,1537,95.38%,(S),0.46%,(S),1.89%,1.95%
18601,Yoshimura,1481,4.73%,(S),80.22%,(S),10.13%,4.46%
18766,Yaw,1461,78.23%,9.17%,6.50%,1.03%,1.98%,3.08%
18793,Yochum,1458,93.83%,(S),(S),1.37%,1.71%,2.26%
18888,Yopp,1446,81.40%,13.14%,0.48%,0.48%,3.39%,1.11%
19075,Yılmaz,1427,92.22%,1.05%,1.89%,0.00%,3.15%,1.68%
19257,Yeatts,1408,95.45%,0.92%,0.92%,0.43%,0.92%,1.35%
19774,Younts,1361,96.03%,(S),0.73%,(S),1.76%,1.10%
19834,Yepes,1355,5.68%,0.37%,0.96%,(S),(S),92.77%
20099,Yarrington,1329,89.16%,6.02%,0.75%,0.53%,1.73%,1.81%
20157,Younes,1324,88.44%,(S),2.19%,(S),3.32%,5.21%
20364,Yarbro,1305,82.38%,13.41%,(S),(S),1.69%,1.84%
20394,Yeargin,1303,66.46%,30.16%,(S),(S),2.30%,1.00%
20468,Yohannes,1297,3.32%,93.75%,1.00%,(S),1.39%,(S)
20780,Yarnall,1271,96.54%,0.00%,0.94%,0.39%,1.26%,0.87%
20884,Yokley,1262,75.36%,18.86%,(S),(S),3.01%,1.98%
20996,Yant,1253,86.99%,6.46%,2.08%,0.88%,2.39%,1.20%
21119,Yousuf,1243,11.26%,17.54%,64.52%,0.56%,5.31%,0.80%
21237,Yax,1235,52.55%,(S),0.81%,(S),1.30%,44.86%
21459,Yokoyama,1218,5.83%,0.00%,79.80%,0.82%,9.77%,3.78%
21717,Yeaton,1198,91.82%,2.00%,1.25%,1.42%,1.59%,1.92%
21736,Yamauchi,1197,6.18%,(S),79.62%,(S),10.69%,3.34%
22301,Yanke,1156,94.98%,(S),0.69%,(S),1.73%,1.73%
22421,Yelle,1148,93.55%,0.52%,1.48%,1.05%,1.13%,2.26%
22592,Yingst,1137,94.64%,(S),0.97%,(S),1.85%,1.85%
22770,Yoshioka,1125,6.58%,0.00%,82.76%,0.00%,9.24%,1.42%
22827,Yantis,1122,90.46%,1.87%,(S),(S),3.03%,3.74%
22989,Yahya,1112,57.37%,15.47%,17.36%,(S),7.46%,(S)
23397,Yearby,1087,18.49%,76.26%,0.00%,0.83%,2.67%,1.75%
23675,Yñiguez,1070,10.84%,(S),5.05%,0.56%,(S),83.08%
23785,Yamane,1063,8.00%,0.56%,74.41%,0.00%,13.92%,3.10%
23817,Yescas,1061,3.77%,(S),(S),1.04%,(S),94.63%
23899,Yiu,1056,1.33%,(S),96.69%,0.00%,1.70%,(S)
23899,Younis,1056,66.57%,7.01%,16.95%,(S),6.25%,(S)
24174,Yinger,1040,95.00%,(S),0.77%,(S),1.54%,1.92%
24554,Yadao,1018,4.81%,(S),70.83%,(S),12.87%,10.51%
24608,Yamashiro,1015,5.12%,0.00%,76.35%,0.00%,12.22%,6.31%
24608,Yonts,1015,95.07%,(S),(S),0.69%,1.38%,2.76%
24665,Yabut,1012,1.68%,(S),92.00%,(S),3.75%,2.47%
24787,Yano,1005,21.19%,(S),66.57%,(S),10.25%,1.49%
24802,Yassin,1004,47.21%,36.95%,(S),(S),5.78%,5.68%
24838,Yule,1002,94.21%,(S),1.10%,(S),1.30%,2.20%
24855,Yerby,1001,73.23%,20.08%,1.20%,1.30%,2.50%,1.70%
